sheet,variable,measurement,type,value_set,n_observed,n_missing,derivation_rule,used_by_analyses,enters_an_analysis,why_not_used,documentation_status
01_Physicians,episode_group,"This shows how many flu episodes a physician reported during the study, grouped as none, one, or two or more.",categorical (text),2+ = 115; 0 = 112; 1 = 77,304,0,Derived variable constructed for analysis,engagement/recurrence stratification,yes,,Described in this appendix
01_Physicians,female,The physician's sex as recorded on the registration questionnaire (Supplement S1).,binary,0 = 109; 1 = 195,304,0,"1 = female, 0 = male. 195 of 304 registrants; 165 of the 248 reporters.","M1, M4, M7, M5",yes,,Described in this appendix
01_Physicians,first_week,"This shows the calendar week each physician started reporting flu cases, labeled by year and week number.",categorical (text),28 distinct text categories; most frequent: 2025-W40 = 44; 2025-W41 = 31; 2025-W46 = 27; 2025-W48 = 23,248,56,"DERIVED from week, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",participation window,yes,,Described in this appendix
01_Physicians,gp,"This row shows whether the physician was a general practitioner, based on 38 physicians identified as general practitioners out of the group studied.",binary,0 = 266; 1 = 38,304,0,"DERIVED from job_title, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",never-reporter comparison (Table 3.23),yes,,Described in this appendix
01_Physicians,had_ili_prev,"Whether the physician reported having had an influenza-like illness in the previous season, from the registration questionnaire (Supplement S1).",binary,0 = 60; 1 = 244,304,0,"1 = yes, 0 = no. 244 of 304; 201 of the 248 reporters. The care-seeking model is fitted on the 195 of those with complete covariates. it has not been possible to trace this variable to a response field in the files supplied, so its provenance is documented as unverified.",eligibility,yes,,Described in this appendix
01_Physicians,hh,"The number of people living in the physician's household, from the registration questionnaire (Supplement S1).",ordinal,1 = 69; 2 = 96; 3 = 84; 4 = 43; 5 = 8; 6 = 4,304,0,"Count, 1 to 6 (6 denotes six or more).",—,yes,,Described in this appendix
01_Physicians,high_risk_unit,"This column shows whether a person worked in a hospital unit considered higher risk for catching or spreading flu, based on the study's records.",binary,0 = 36; 1 = 76,112,192,Taken directly from the recorded response,occupational subgroup description (Table 3.8),yes,,Described in this appendix
01_Physicians,household_highrisk,"Whether anyone the physician lives with is at high risk of influenza complications, from the registration questionnaire (Supplement S1).",binary,0 = 133; 1 = 72,205,99,"1 = yes, 0 = no, MISSING for physicians living alone, who are not counted as having no such household member. Among the 248 reporters: 72 yes, 133 no, 43 missing.",descriptive (Table 3.6),yes,,Documented in this appendix
01_Physicians,ili_freq_high,"This shows whether a doctor reported having 3 to 4 or more flu-like illness cases per year, based on 84 who said yes and 164 who said no.",binary,0 = 164; 1 = 84,248,56,"DERIVED from ili_freq_ord, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",sensitivity coding of susceptibility,yes,,Described in this appendix
01_Physicians,ili_freq_ord,"How often the physician says they normally catch a flu-like illness in a year, on a 0-to-4 scale from never to very often.",ordinal,0 = 12; 1 = 190; 2 = 81; 3 = 17; 4 = 4,304,0,"DERIVED from ili_freq_per_year, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,five-level form of the susceptibility variable; every model uses the four-level ili_freq_ord4 instead,Described in this appendix
01_Physicians,ili_freq_ord4,"How often the physician reported normally having an influenza-like illness in a year, averaged over the preceding three seasons, on the registration questionnaire (Supplement S1).",ordinal,0 = 12; 1 = 190; 2 = 81; 3 = 21,304,0,"Four ordered levels: 0 = never, 1 = one to two per year, 2 = three to four, 3 = five or more. The top two response options of the instrument are merged into level 3 (11 + 3 = 14 physicians), because neither supports a separate stratum. FOUR levels throughout; the five-level form is not used in any model.","M1, M4, M5, M6, M7, M8 (covariate)",yes,,Documented in this appendix
01_Physicians,institution_type,"This shows the type of health facility where the physician worked, such as a university hospital, public hospital, health directorate, or private hospital.",categorical (text),Üniversite (Kamu ya da Vakıf) - Hastane = 117; Sağlık Bakanlığı - Hastane = 75; Sağlık Bakanlığı: Merkez - İl Sağlık Müdürlüğü - İlçe Sağlık Müdürlüğü - 112 Komuta Kontrol Birimi = 73; Sağlık Bakanlığı: Aile Sağlığı Merkezi = 25; Özel Hastane / Klinik = 14,304,0,Taken directly from the recorded response,cohort description (Table 3.5),yes,,Described in this appendix
01_Physicians,job_title,"This shows the doctor's job type: specialist, faculty member with an academic title, medical trainee, or general practitioner.",categorical (text),Uzman hekim / Yan dal uzmanı hekim = 119; Akademik ünvanı olan hekim = 93; Araştırma görevlisi (ana dal veya yan dal) hekim = 54; Pratisyen hekim = 38,304,0,Taken directly from the recorded response,cohort description (Table 3.5),yes,,Described in this appendix
01_Physicians,last_week,"This shows the most recent calendar week each doctor sent in their flu report, with 2026-W20 (mid-May 2026) being the most common.",categorical (text),27 distinct text categories; most frequent: 2026-W20 = 157; 2026-W19 = 27; 2026-W18 = 8; 2026-W16 = 6,248,56,"DERIVED from week, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",participation window,yes,,Described in this appendix
01_Physicians,mask,"Whether the physician wears a mask during face-to-face examination, from the registration questionnaire (Supplement S1).",binary,0 = 69; 1 = 43,112,192,"1 = yes, 0 = no. Among the 112: 43 yes, 69 no. No interaction with the aerosol share is estimable, because the cross-classification contains a cell with one physician and one episode.",M8,yes,,Described in this appendix
01_Physicians,n_episodes,"This shows how many separate flu illness periods a physician treated during the season, ranging from none to twelve.",count,0 = 112; 1 = 77; 2 = 41; 3 = 26; 4 = 16; 5 = 15; 6 = 9; 7 = 4; 8 = 2; 11 = 1; 12 = 1,304,0,"DERIVED from new_episode, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",M7 recurrence descriptive,yes,,Described in this appendix
01_Physicians,n_episodes_A,"This shows how many times this physician reported a ""cluster A"" flu episode, with most physicians reporting none.",ordinal,0 = 234; 1 = 53; 2 = 14; 3 = 2; 4 = 1,304,0,"DERIVED from event_A, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).","cluster-specific episode burden, Table 3.9",yes,,Described in this appendix
01_Physicians,n_episodes_B,"This shows how many separate flu-like illness episodes fell into cluster B for each doctor, ranging from none to twelve.",count,0 = 145; 1 = 77; 2 = 33; 3 = 26; 4 = 12; 5 = 3; 6 = 5; 7 = 1; 8 = 1; 12 = 1,304,0,"DERIVED from event_B, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).","cluster-specific episode burden, Table 3.9",yes,,Described in this appendix
01_Physicians,n_episodes_C,"This shows how many doctors had 0, 1, 2, 3, or 4 flu episodes grouped into ""cluster C,"" with most having none.",ordinal,0 = 276; 1 = 19; 2 = 4; 3 = 4; 4 = 1,304,0,"DERIVED from event_C, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).","cluster-specific episode burden, Table 3.9",yes,,Described in this appendix
01_Physicians,n_episodes_D,"This shows how many illness episodes fell into group D, with most physicians reporting none.",ordinal,0 = 286; 1 = 16; 2 = 1; 4 = 1,304,0,"DERIVED from event_D, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).","cluster-specific episode burden, Table 3.9",yes,,Described in this appendix
01_Physicians,n_symptom_weeks,"This shows how many weeks the person had symptoms, ranging from 0 (no symptoms) up to 23 weeks in this study.",count,"numeric, 0 to 23; median 1 (IQR 0-3)",304,0,"DERIVED from symptomatic, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",descriptive,yes,,Described in this appendix
01_Physicians,n_weeks_reported,How many of the 33 season weeks the physician filed a report for.,count,"numeric, 0 to 33; median 16 (IQR 2-27)",304,0,"Count, 1 to 33 among reporters; median 20, mean 19.1. Enters the negative-binomial model with the log of eligible weeks as offset.",M7,yes,,Described in this appendix
01_Physicians,oncall_any,"This shows whether the physician worked at least one on-call shift per month, based on responses from 248 physicians.",binary,0 = 220; 1 = 28,248,56,"DERIVED from monthly_oncall_shifts, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",occupational subgroup description (Table 3.8),yes,,Described in this appendix
01_Physicians,paeds_patients,"Whether the physician's patients are mainly children, from the primary-patient-group question on the registration questionnaire (Supplement S1).",binary,0 = 126; 1 = 24,150,154,"1 = mainly children, 0 = not. 20 of the 112.",descriptive (Table 3.8),yes,,Documented in this appendix
01_Physicians,participant_id,The masked identifier that links a physician's weekly reports to one another.,categorical (text),304 distinct text categories; most frequent: HEKIM-8HRWX607J = 1; HEKIM-NLWXK07A7 = 1; HEKIM-6ZP5LGVHG = 1; HEKIM-ZHC3QZY1R = 1,304,0,"Character identifier; 304 registrants, 248 with at least one filed report.","M5, M6, M8 frailty; M10 random intercept",yes,,Described in this appendix
01_Physicians,pat_per_day,"How many patients the physician examines face to face on a typical day, from the registration questionnaire (Supplement S1).",count,"numeric, 1 to 100; median 20 (IQR 10-40)",110,194,"Count, 1 to 100; median 20 (IQR 10 to 40) among the 110 with a value. The two physicians of the 112 who left this item blank are the reason the occupational analysis set is 110.",M8,yes,,Described in this appendix
01_Physicians,prev_vax,"Whether the physician was vaccinated against influenza in the previous season, from the registration questionnaire (Supplement S1).",binary,0 = 188; 1 = 116,304,0,"1 = yes, 0 = no. 116 of 304; 99 of the 248 reporters.","M1, M4",yes,,Described in this appendix
01_Physicians,primary_patient_group,"This shows which patient group each person belongs to: Adult, Child, Age 65 and over, or Immunosuppressed (weakened immune system).",categorical (text),Erişkin = 118; Çocuk = 24; 65 yaş ve üzeri = 7; İmmünsüprese = 1,150,154,"Taken directly from the recorded response; also carried to the physician-level sheet, where it is defined for the 112 physicians who examine patients face to face (the registration questionnaire (Supplement S1))",occupational subgroup description (Table 3.8),yes,,Documented in the project codebook
01_Physicians,primarycare,"This shows whether the physician worked in a primary care or public health setting, like a family health center or local health authority, at the start of the study.",binary,0 = 206; 1 = 98,304,0,"DERIVED from institution_type, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description,yes,,Described in this appendix
01_Physicians,pub_transport_ord,"How much time the physician spends on public transport on a typical day, from the registration questionnaire (Supplement S1).",ordinal,0 = 246; 1 = 18; 2 = 27; 3 = 13,304,0,"Four ordered levels: 0 = usually none, 1 = up to 30 minutes, 2 = 31 to 90 minutes, 3 = more than 90 minutes. The instrument's 31-to-60 and 61-to-90 options are merged into level 2.",M4,yes,,Described in this appendix
01_Physicians,pub_transport_user,"This person reported whether they use public transportation, with 51 saying yes and 197 saying no.",binary,0 = 197; 1 = 51,248,56,"DERIVED from public_transport_time, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",M5,yes,,Described in this appendix
01_Physicians,recurrent_2plus,"This shows whether a doctor had two or more flu episodes during the study, with 115 doctors meeting that and 189 not.",binary,0 = 189; 1 = 115,304,0,"DERIVED from n_episodes, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",recurrence share indicator,yes,,Described in this appendix
01_Physicians,reg_week,"This shows the calendar week each patient was signed up for the study, such as week 45 of 2025.",categorical (text),26 distinct text categories; most frequent: 2025-W45 = 65; 2025-W41 = 31; 2025-W39 = 18; 2025-W37 = 17,248,56,Taken directly from the recorded response,accrual description (Figure 3.1.2),yes,,Described in this appendix
01_Physicians,reported,Whether the registrant ever filed a weekly report during the season.,binary,0 = 56; 1 = 248,304,0,"1 = at least one weekly report, 0 = none. 248 of 304 registrants.",M4,yes,,Described in this appendix
01_Physicians,resident,"This shows whether the doctor was a resident (a physician still in training) when the study began, based on 54 out of the doctors surveyed.",binary,0 = 250; 1 = 54,304,0,"DERIVED from job_title, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description,yes,,Described in this appendix
01_Physicians,school_kids,How many school-age children live in the physician's household.,ordinal,0 = 129; 1 = 81; 2 = 26; 3 = 3; 4 = 2,241,63,Derived variable constructed for analysis,,no,source or intermediate form of school_kids_any; the analysis uses school_kids_any,Described in this appendix
01_Physicians,school_kids_any,"Whether at least one school-age child lives in the physician's household, from the household composition question on the registration questionnaire (Supplement S1).",binary,0 = 192; 1 = 112,304,0,"1 if the reported number of school-age children is one or more, else 0. Physicians who reported living alone and left the count blank are set to 0 (63 records, all with household size 1). 112 of 304 registrants.","M1, M4, M5, M6, M7, M8",yes,,Described in this appendix
01_Physicians,sees_pat,"Whether the physician examines patients face to face, as opposed to working in a laboratory, consultative or non-clinical role, from the registration questionnaire (Supplement S1).",binary,0 = 154; 1 = 150,304,0,"1 = face-to-face examination, 0 = not. 150 of 304 registrants; 112 of the 248 reporters, which is the occupational subgroup (cohort_112_primary).","M1, M4, M7; defines the 112 subgroup, M5",yes,,Described in this appendix
01_Physicians,sex,This column shows whether the physician is female (Kadın) or male (Erkek).,categorical (text),Kadın = 195; Erkek = 109,304,0,Taken directly from the recorded response,cohort description,yes,,Described in this appendix
01_Physicians,smoker_current,"Whether the physician currently uses tobacco, from the tobacco question on the registration questionnaire (Supplement S1).",binary,0 = 243; 1 = 61,304,0,"1 = current use (daily or occasional), 0 = never or former. 61 of 304; 49 of the 248 reporters.","M4, M5",yes,,Described in this appendix
01_Physicians,smoker_regular,"1 if the physician uses tobacco every day, as opposed to occasionally or not at all.",binary,0 = 229; 1 = 19,248,56,"DERIVED from tobacco_status, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of smoker_current; the analysis uses smoker_current,Described in this appendix
01_Physicians,social_risk_score,"How many kinds of out-of-household close contact the physician has on a typical day - with more than ten children, more than ten adults aged 18 to 65, and more than ten people aged 65 or over - from the registration questionnaire (Supplement S1).",ordinal,0 = 78; 1 = 147; 2 = 17; 3 = 6,248,56,"Sum of the three contact indicators, 0 to 3. Defined for the 248 reporters (0: 78, 1: 147, 2: 17, 3: 6); the 56 never-reporters are missing on this variable in 01_Physicians. Three physicians carry a score with the three component indicators blank, so the score cannot be recomputed from its components for those records.",M5; descriptive covariate profile (Table 3.15),yes,,Documented in this appendix
01_Physicians,sought_care,"Whether the physician reported having sought health care for an influenza-like illness in the previous season, on the registration questionnaire (Supplement S1).",binary,0 = 237; 1 = 67,304,0,"1 = at least one outpatient, emergency or inpatient contact; 0 = self-managed or no illness needing treatment.","M1, M5",yes,,Described in this appendix
01_Physicians,tobacco_status,"This shows whether the person never smoked, used to smoke, smokes occasionally, or smokes every day, with a few unknown.",categorical (text),never = 163; former = 34; occasional = 29; daily = 19; unknown = 3,248,56,"DERIVED from tobacco_use, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of smoker_current; the analysis uses smoker_current,Described in this appendix
01_Physicians,university,"Whether the physician works in a university hospital, from the institution question on the registration questionnaire (Supplement S1).",binary,0 = 187; 1 = 117,304,0,"1 = university hospital, 0 = other institution. 117 of 304; 105 of the 248 reporters.",M4,yes,,Described in this appendix
01_Physicians,vax,"Whether the physician reported, on the registration questionnaire (Supplement S1), having received a seasonal influenza vaccination in the current season.",binary,0 = 203; 1 = 101,304,0,"1 = yes, 0 = no. 101 of the 304 registrants; 91 of the 248 active reporters.",M1,yes,,Described in this appendix
01_Physicians,vax_iso_week,"This shows the week of the year, from 1 to 52, when the doctor got their flu vaccine.",count,"numeric, 1 to 52; median 44 (IQR 43-45)",91,213,Taken directly from the recorded response,M6 exposure timing,yes,,Described in this appendix
01_Physicians,vax_week_idx,The season week number (1–33) in which the physician was vaccinated; empty if not vaccinated.,count,"numeric, 1 to 16; median 5 (IQR 4-7)",91,213,"DERIVED from vax_iso_week, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",M6 exposure timing; cumulative coverage indicator,yes,,Described in this appendix
01_Physicians,vuln_patients,"Whether the physician's patients are mainly people aged 65 and over or immunosuppressed, from the primary-patient-group question on the registration questionnaire (Supplement S1).",binary,0 = 142; 1 = 8,150,154,"1 = mainly elderly or immunosuppressed, 0 = not. 5 of the 112.",descriptive (Table 3.8),yes,,Documented in this appendix
02_PersonWeeks,academic,"Whether this doctor holds an academic title, such as professor, based on 93 out of 304 doctors in the study.",binary,0 = 2938; 1 = 1791,4729,0,"DERIVED from job_title, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description; never-reporter comparison (Table 3.23),yes,,Described in this appendix
02_PersonWeeks,active,"Note: this is the physical-activity survey answer (1 = reports being physically active), NOT a measure of taking part in the study. 19 physicians who never filed a single weekly report have active=1.",binary,0 = 2405; 1 = 2324,4729,0,Derived variable constructed for analysis,M5; cohort description (physical activity); descriptive covariate profile,yes,,Described in this appendix
02_PersonWeeks,aerosol_ord,"What share of the physician's examinations involves procedures that aerosolise respiratory secretions, from the registration questionnaire (Supplement S1).",ordinal,0 = 1199; 1 = 418; 2 = 66; 3 = 105,1788,2941,"Four ordered levels: 0 = never performs, 1 = under 10% of examinations, 2 = 10 to 20%, 3 = over 20%. Among the 112: 68 / 27 / 7 / 10.",M8,yes,,Described in this appendix
02_PersonWeeks,aerosol_procedure_pct,"This shows how often the doctor performed procedures that release tiny airborne particles, ranging from never to more than 20% of the time.",categorical (text),Hiç gerçekleştirmiyor = 1199; %10'dan az = 418; %20'den fazla = 105; %10-20 = 66,1788,2941,Taken directly from the recorded response,,no,source or intermediate form of aerosol_ord; the analysis uses aerosol_ord,Documented in the project codebook
02_PersonWeeks,age,"This shows the physician's age, calculated from their birth year, ranging from 24 to 72 years old.",count,"numeric, 25 to 72; median 36 (IQR 33-48)",4729,0,"DERIVED from birth_year, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description (Table 3.4),yes,,Described in this appendix
02_PersonWeeks,age10,"The physician's age at the start of the season, from the year of birth given on the registration questionnaire (Supplement S1), rescaled so one unit is ten years.",continuous,"numeric, 2.5 to 7.2; median 3.6 (IQR 3.3-4.8)",4729,0,(2025 minus year of birth) / 10; range 2.4 to 7.2.,"M1, M4, M5, M6, M7, M8",yes,,Described in this appendix
02_PersonWeeks,age_band,"This shows which age group the doctor belongs to: under 35, 35-44, 45-54, or 55 and older.",categorical (text),<35 = 1815; 35-44 = 1485; 55+ = 818; 45-54 = 611,4729,0,"DERIVED from age, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of age10; the analysis uses age10,Documented in the project codebook
02_PersonWeeks,agent_A,1 if the illness was judged to be flu-like (group A). This is the measure compared against the national flu surveillance system.,binary,0 = 4632; 1 = 97,4729,0,1 if agent_cluster is the A group,M9 (weekly A-cluster numerator),yes,,Documented in the project codebook
02_PersonWeeks,agent_cluster,"The clinician's judgement of what most likely caused the illness, in four groups: A viral with whole-body effects (flu-like), B viral affecting one area (such as a common cold), C bacterial, D cannot tell.",categorical (text),B KÜMESİ (Viral - Lokal Etki) = 428; A KÜMESİ (Viral - Sistemik Etki) = 97; C KÜMESİ (Bakteriyel etkenler) = 50; D Kümesi: Ayırt edemem/Bilmiyorum = 25,600,4129,Taken directly from the recorded response,M6 cluster-specific contrasts,yes,,Documented in the project codebook
02_PersonWeeks,allergy,"Whether the physician reported a respiratory allergy, from the registration questionnaire (Supplement S1).",binary,0 = 2975; 1 = 1754,4729,0,"1 = yes, 0 = no. 120 of 304; 96 of the 248 reporters. Blank responses are read as no.",M5,yes,,Described in this appendix
02_PersonWeeks,at_risk_new_episode,Whether the physician could have started a new illness in that week; weeks continuing an illness already running could not.,binary,0 = 103; 1 = 4626,4729,0,"1 unless the week continues an episode reported the week before; 4,626 of 4,729 person-weeks. This is the denominator of every incidence rate in the Results.","M5, M6, M8; every incidence denominator",yes,,Described in this appendix
02_PersonWeeks,birth_year,"This shows the birth year of each physician in the study, ranging from 1953 to 2000.",count,"numeric, 1953 to 2000; median 1989 (IQR 1977-1992)",4729,0,Taken directly from the recorded response,,no,source or intermediate form of age10; the analysis uses age10,Documented in the project codebook
02_PersonWeeks,cluster_letter,"Just the letter of the cause group: A, B, C or D.",categorical (text),B = 428; A = 97; C = 50; D = 25,600,4129,Derived variable constructed for analysis,M6 cluster-specific contrasts,yes,,Described in this appendix
02_PersonWeeks,cohort_112_primary,"Whether the physician filed at least one weekly report, and whether they additionally examine patients face to face.",binary,0 = 2941; 1 = 1788,4729,0,cohort_248_reporter = 1 if reported = 1 (248 of 304); cohort_112_primary = 1 if reported = 1 and sees_pat = 1 (112 of 304).,defines the 112 occupational subgroup,yes,,Described in this appendix
02_PersonWeeks,comp_risk,"This shows how many risk factors for complications each doctor had, ranging from none (most common) to three (least common).",ordinal,0 = 3612; 1 = 722; 2 = 270; 3 = 64,4668,61,"DERIVED from komorbidite, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of comp_risk_any_nan; the analysis uses comp_risk_any_nan,Documented in the project codebook
02_PersonWeeks,comp_risk_any,1 if the physician has at least one long-term health condition that could make flu worse.,binary,0 = 3673; 1 = 1056,4729,0,"DERIVED from own_complication_risk_n, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",M5,yes,,Described in this appendix
02_PersonWeeks,comp_risk_any_nan,"Whether the physician declared any medical condition raising the risk of influenza complications, on the registration questionnaire (Supplement S1).",binary,0 = 3612; 1 = 1056,4668,61,"1 = at least one such condition, 0 = none, MISSING for the six respondents who chose not to answer the item. Those six are not imputed to 0; this is what fixes the individual-level analysis set at 242 and the reporting-propensity set at 298.","M1, M4",yes,,Documented in this appendix
02_PersonWeeks,comp_risk_n,How many long-term health conditions the physician reported that could make flu worse.,ordinal,0 = 3612; 1 = 722; 2 = 270; 3 = 64,4668,61,Derived variable constructed for analysis,"health-condition count, cohort description (Table 3.7)",yes,,Described in this appendix
02_PersonWeeks,contact_adults_10plus,"This shows whether the person reported having contact with 10 or more adults on a typical day, marked yes or no.",binary,0 = 1385; 1 = 3248,4633,96,"DERIVED from social contact answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",component of social_risk_score,yes,,Documented in the project codebook
02_PersonWeeks,contact_children,"This shows whether a physician reported having contact with 10 or more children on a typical day, based on their own report at the start of the study.",binary,0 = 4458; 1 = 271,4729,0,"DERIVED from social contact answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of contact_children_10plus; the analysis uses contact_children_10plus,Described in this appendix
02_PersonWeeks,contact_children_10plus,This shows whether a person reported having contact with 10 or more children or teenagers on a given day (yes or no).,binary,0 = 4392; 1 = 241,4633,96,"DERIVED from social contact answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",component of social_risk_score,yes,,Documented in the project codebook
02_PersonWeeks,contact_elderly,"This shows whether the person reported having 10 or more daily contacts with elderly people before the study began (1 = yes, 0 = no).",binary,0 = 4434; 1 = 295,4729,0,"DERIVED from social contact answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of contact_elderly_10plus; the analysis uses contact_elderly_10plus,Described in this appendix
02_PersonWeeks,contact_elderly_10plus,"This shows whether the physician reported having daily contact with 10 or more elderly people, based on data from 4,633 physicians.",binary,0 = 4338; 1 = 295,4633,96,"DERIVED from social contact answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",component of social_risk_score,yes,,Documented in the project codebook
