sheet,variable,label,type,storage_dtype,unit,valid_values_or_range,n_nonmissing,n_missing,raw_or_derived,derivation_rule,source_variables,questionnaire_content,instrument
01_Physicians,active,1 if the physician meets the weekly aerobic physical-activity threshold. This is the physical-activity answer and carries no information about participation in surveillance.,binary,int64,,0=168; 1=136,304,0,DERIVED,"1 if the recorded answer is yes, 0 if no.",physical_activity_ok,the registration questionnaire asked whether the physician performs at least one hundred and fifty minutes of moderate-intensity or seventy-five minutes of vigorous-intensity aerobic physical activity per week,registration questionnaire (Supplement S1)
01_Physicians,hh,"Number of people living in the household, including the physician; the top category is six or more.",ordinal,int64,people,1=69; 2=96; 3=84; 4=43; 5=8; 6=4,304,0,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked how many people live in the physician's household including themselves, from living alone through six or more",registration questionnaire (Supplement S1)
01_Physicians,contact_children,1 if the physician has daily close contact with more than ten children or adolescents outside the household and outside health care.,binary,int64,,0=283; 1=21,304,0,DERIVED,"1 if the corresponding social-contact option is marked, 0 if it is not.",social contact answer,"the registration questionnaire asked the physician to mark their close-contact status in social life outside the household and outside health care, offering close daily contact with more than ten people aged eighteen to sixty-five, with more than ten children or adolescents, with more than ten people aged sixty-five and over, and none of these",registration questionnaire (Supplement S1)
01_Physicians,contact_elderly,1 if the physician has daily close contact with more than ten people aged 65 and over outside the household and outside health care.,binary,int64,,0=278; 1=26,304,0,DERIVED,"1 if the corresponding social-contact option is marked, 0 if it is not.",social contact answer,"the registration questionnaire asked the physician to mark their close-contact status in social life outside the household and outside health care, offering close daily contact with more than ten people aged eighteen to sixty-five, with more than ten children or adolescents, with more than ten people aged sixty-five and over, and none of these",registration questionnaire (Supplement S1)
01_Physicians,reported,1 if the physician filed at least one weekly report.,binary,int64,,0=56; 1=248,304,0,DERIVED,"1 if the physician has one or more filed weekly reports, 0 if none.","participant_id, week",,
01_Physicians,n_weeks_reported,"Number of weeks in which the physician filed a report, out of the 33 season weeks.",count,int64,weeks,0.0 to 33.0,304,0,DERIVED,Count of that physician's filed weekly reports.,"participant_id, week",,
01_Physicians,n_symptom_weeks,"Number of weeks in which the physician reported symptoms, new or continuing.",count,int64,weeks,0.0 to 23.0,304,0,DERIVED,Sum of the symptomatic-week indicator within the physician.,symptomatic,,
01_Physicians,any_symptom,1 if the physician reported symptoms in at least one week.,binary,int64,,0=112; 1=192,304,0,DERIVED,1 if the physician's symptomatic-week count is one or more.,n_symptom_weeks,,
01_Physicians,recurrent_2plus,1 if the physician reported two or more episodes over the season.,binary,int64,,0=189; 1=115,304,0,DERIVED,1 if the episode count is two or more.,n_episodes,,
01_Physicians,first_week,ISO year and week of the physician's first weekly report; empty for physicians who never reported.,categorical,object,,28 distinct values,248,56,DERIVED,Earliest reporting week among that physician's filed weekly reports.,week,,
01_Physicians,last_week,ISO year and week of the physician's most recent weekly report; empty for physicians who never reported.,categorical,object,,27 distinct values,248,56,DERIVED,Latest reporting week among that physician's filed weekly reports.,week,,
01_Physicians,attack_rate,Share of that physician's filed weeks in which symptoms were reported; empty for physicians who never reported.,continuous,float64,proportion,0.0 to 1.0,248,56,DERIVED,Symptomatic-week count divided by weeks reported.,"n_symptom_weeks, n_weeks_reported",,
01_Physicians,sex,"Biological sex as recorded, in the original wording.",categorical,object,,Kadın (n=195); Erkek (n=109),304,0,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked the physician's biological sex, with the options female and male",registration questionnaire (Supplement S1)
01_Physicians,institution_type,"Type of institution or unit where the physician works, in the original wording.",categorical,object,,Üniversite (Kamu ya da Vakıf) - Hastane (n=117); Sağlık Bakanlığı - Hastane (n=75); Sağlık Bakanlığı: Merkez - İl Sağlık Müdürlüğü - İlçe Sağlık Müdürlüğü - 112 Komuta Kontrol Birimi (n=73); Sağlık Bakanlığı: Aile Sağlığı Merkezi (n=25); Özel Hastane / Klinik (n=14),304,0,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked which institution or unit the physician works in, offering a Ministry of Health central, provincial or district health directorate or emergency command-control unit; a Ministry of Health family health centre; a Ministry of Health hospital; a public or foundation university hospital; and a private hospital or clinic",registration questionnaire (Supplement S1)
01_Physicians,job_title,"Current job title, in the original wording.",categorical,object,,Uzman hekim / Yan dal uzmanı hekim (n=119); Akademik ünvanı olan hekim (n=93); Araştırma görevlisi (ana dal veya yan dal) hekim (n=54); Pratisyen hekim (n=38),304,0,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked the physician's current job title, offering general practitioner, resident physician in a main or subspecialty programme, specialist or subspecialty specialist physician, and physician holding an academic title",registration questionnaire (Supplement S1)
01_Physicians,n_episodes,Number of separate influenza-like-illness episodes the physician reported over the season.,count,int64,episodes,0.0 to 12.0,304,0,DERIVED,Sum of the new-episode indicator within the physician.,new_episode,,
01_Physicians,n_episodes_A,Number of cluster A episodes the physician reported.,ordinal,int64,episodes,0=234; 1=53; 2=14; 3=2; 4=1,304,0,DERIVED,Sum of the cluster A event indicator within the physician.,event_A,,
01_Physicians,n_episodes_B,Number of cluster B episodes the physician reported.,count,int64,episodes,0.0 to 12.0,304,0,DERIVED,Sum of the cluster B event indicator within the physician.,event_B,,
01_Physicians,n_episodes_C,Number of cluster C episodes the physician reported.,ordinal,int64,episodes,0=276; 1=19; 2=4; 3=4; 4=1,304,0,DERIVED,Sum of the cluster C event indicator within the physician.,event_C,,
01_Physicians,n_episodes_D,Number of cluster D episodes the physician reported.,ordinal,int64,episodes,0=286; 1=16; 2=1; 4=1,304,0,DERIVED,Sum of the cluster D event indicator within the physician.,event_D,,
01_Physicians,vax_week_idx,"Season week index, 1 to 33, in which the vaccine was given; empty for unvaccinated physicians.",count,float64,week number,1.0 to 16.0,91,213,DERIVED,The recorded ISO vaccination week converted to the season week index.,vax_iso_week,"the registration questionnaire asked physicians vaccinated in the current season to mark the ISO week of vaccination from a list of dated weeks, with a no-vaccination option",registration questionnaire (Supplement S1)
01_Physicians,vax_iso_week,ISO week number in which the vaccine was given; empty for unvaccinated physicians.,count,float64,ISO week number,1.0 to 52.0,91,213,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked physicians vaccinated in the current season to mark the ISO week of vaccination from a list of dated weeks, with a no-vaccination option",registration questionnaire (Supplement S1)
01_Physicians,reg_week,ISO year and week in which the physician completed registration.,categorical,object,,26 distinct values,248,56,RAW,ISO week label of the registration submission.,,,
01_Physicians,tobacco_status,"Tobacco use in four categories: never, former, occasional, daily.",categorical,object,,never (n=163); former (n=34); occasional (n=29); daily (n=19); unknown (n=3),248,56,DERIVED,"The recorded tobacco answer mapped to never, former, occasional or daily; an open pack-year entry is treated as daily use.",tobacco_use,"the registration questionnaire asked which statement about tobacco-product use applies, distinguishing never use, former use with time since quitting, occasional use, and an open pack-year entry",registration questionnaire (Supplement S1)
01_Physicians,high_risk_unit,"Named clinical unit carrying a high transmission risk, or none of the listed units.",binary,float64,,0=36; 1=76,112,192,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked patient-facing physicians whether they work in a unit carrying a high transmission risk, listing the emergency department, infectious diseases and clinical microbiology, chest diseases, anaesthesiology and reanimation or intensive care, otorhinolaryngology, paediatrics, family medicine, and none of these",registration questionnaire (Supplement S1)
01_Physicians,aerosol_ord,"Aerosol-generating-procedure share on a 0-3 ordinal scale: 0 never, 1 less than a tenth of examinations, 2 a tenth to a fifth, 3 more than a fifth.",ordinal,float64,,0=68; 1=27; 2=7; 3=10,112,192,DERIVED,The four ordered response bands numbered 0 to 3 in the order in which they were offered.,aerosol_procedure_pct,"the registration questionnaire asked patient-facing physicians in what share of their examinations aerosol-generating procedures such as intubation, bronchoscopy or respiratory sampling occur, in four ordered bands from never through less than a tenth and a tenth to a fifth to more than a fifth",registration questionnaire (Supplement S1)
01_Physicians,oncall_any,1 if the physician works at least one on-call shift per month.,binary,float64,,0=220; 1=28,248,56,DERIVED,"1 if the reported monthly on-call shift count is one or more, 0 if zero or not applicable.",monthly_oncall_shifts,"the registration questionnaire asked patient-facing physicians how many on-call shifts per month they are primarily responsible for, averaged over the preceding three months",registration questionnaire (Supplement S1)
01_Physicians,pat_per_day,"Number of patients primarily examined per day, averaged over the preceding three months.",count,float64,patients per day,1.0 to 100.0,110,194,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked patient-facing physicians how many patients they primarily examine per day, averaged over the preceding three months",registration questionnaire (Supplement S1)
01_Physicians,mask,1 if the physician wears a mask while examining patients face to face; undefined for physicians who see no patients.,binary,float64,,0=69; 1=43,112,192,DERIVED,"1 if the recorded answer is yes, 0 if no.",mask_use,"the registration questionnaire asked patient-facing physicians whether, over the preceding month, they wear a mask while examining patients face to face",registration questionnaire (Supplement S1)
01_Physicians,ili_freq_high,1 if the physician reports three or more influenza-like illnesses per year.,binary,float64,,0=164; 1=84,248,56,DERIVED,"1 if the ordinal frequency level is two or above, 0 otherwise.",ili_freq_ord,"the registration questionnaire asked how often per year the physician has an influenza-like illness, in five ordered bands: never, once or twice, three or four times, five or six times, and more than six times a year",registration questionnaire (Supplement S1)
01_Physicians,smoker_regular,1 if the physician uses tobacco daily.,binary,float64,,0=229; 1=19,248,56,DERIVED,"1 if tobacco status is daily, 0 otherwise.",tobacco_status,"the registration questionnaire asked which statement about tobacco-product use applies, distinguishing never use, former use with time since quitting, occasional use, and an open pack-year entry",registration questionnaire (Supplement S1)
01_Physicians,pub_transport_user,1 if the physician uses public transport at all.,binary,float64,,0=197; 1=51,248,56,DERIVED,1 if the recorded band is anything other than does not generally use public transport.,public_transport_time,"the registration questionnaire asked the average time spent in public transport per day, from generally not using public transport through bands up to more than ninety minutes",registration questionnaire (Supplement S1)
01_Physicians,episode_group,"Episode count grouped as none, one, or two or more.",categorical,object,,2+ (n=115); 0 (n=112); 1 (n=77),304,0,DERIVED,The episode count collapsed into the three groups shown.,n_episodes,,
01_Physicians,cohort_248_reporter,1 if the physician filed at least one weekly report; this marks the reporting cohort used in the person-level analyses.,binary,int64,,0=56; 1=248,304,0,DERIVED,1 if the physician filed at least one weekly report.,reported,,
01_Physicians,cohort_112_primary,1 if the physician both filed weekly reports and examines patients face to face; this marks the subgroup used in the occupational-exposure analyses.,binary,int64,,0=192; 1=112,304,0,DERIVED,1 if the reporting indicator is 1 and the face-to-face examination indicator is 1.,"reported, sees_pat",,
01_Physicians,ili_freq_ord4,"Self-reported susceptibility to influenza-like illness in four ordered levels: 0 never, 1 once or twice a year, 2 three or four times a year, 3 five or more times a year. This is the susceptibility variable used in the individual-level models.",ordinal,int64,,0=12; 1=190; 2=81; 3=21,304,0,DERIVED,"The five ordered response bands collapsed to four by merging the two sparsest upper bands, five or six times a year and more than six times a year, into a single top level.",ili_freq_per_year,"the registration questionnaire asked how often per year the physician has an influenza-like illness, in five ordered bands: never, once or twice, three or four times, five or six times, and more than six times a year",registration questionnaire (Supplement S1)
01_Physicians,comp_risk_any_nan,"1 if the physician reports at least one condition carrying a high risk of influenza complications, 0 if none, and missing for physicians who chose not to answer. This is the comorbidity variable used in the individual-level models.",binary,float64,,0=230; 1=68,298,6,DERIVED,"1 if any condition group is marked, 0 if the none option is marked, missing if the declined-to-answer option is marked.",komorbidite,"the registration questionnaire asked the physician to mark any conditions they have that carry a high risk of influenza or COVID-19 complications, with a mutually exclusive none option and a multi-select list covering respiratory, neurological, blood, endocrine, metabolic and other condition groups, and an option to decline to answer",registration questionnaire (Supplement S1)
01_Physicians,social_risk_score,"Number of kinds of out-of-home close contact the physician has on a typical day, from 0 to 3. Defined for the 248 reporting physicians.",ordinal,float64,contact types (0-3),0=78; 1=147; 2=17; 3=6,248,56,DERIVED,"Sum of the three out-of-home close-contact indicators: more than ten children or adolescents, more than ten adults aged 18-65, and more than ten people aged 65 and over.","temas_cocuk, temas_eriskin, temas_yasli","the registration questionnaire asked the physician to mark their close-contact status in social life outside the household and outside health care, offering close daily contact with more than ten people aged eighteen to sixty-five, with more than ten children or adolescents, with more than ten people aged sixty-five and over, and none of these",registration questionnaire (Supplement S1)
01_Physicians,household_highrisk,"1 if a household member carries a high risk of influenza complications, 0 if none does, and missing for physicians living alone or declining to answer.",binary,float64,,0=133; 1=72,205,99,DERIVED,"1 if the household-risk answer is yes, 0 if no, missing otherwise; the single-living response is left missing and never overwrites an affirmative answer.","household_complication_risk, household_size","the registration questionnaire asked whether one or more household members carry a high risk of influenza or COVID-19 complications, with the options yes, no, I live alone, and I prefer not to answer",registration questionnaire (Supplement S1)
01_Physicians,paeds_patients,1 if the physician's patients are mainly children; undefined for physicians who see no patients.,binary,float64,,0=126; 1=24,150,154,DERIVED,"1 if the recorded primary patient group is children, 0 for any other named group, missing when no group is recorded.",primary_patient_group,"the registration questionnaire asked patient-facing physicians which patient group makes up more than eighty per cent of their patients, offering children, adults, people aged sixty-five and over, and immunosuppressed patients",registration questionnaire (Supplement S1)
01_Physicians,vuln_patients,1 if the physician's patients are mainly people aged 65 and over or immunosuppressed; undefined for physicians who see no patients.,binary,float64,,0=142; 1=8,150,154,DERIVED,"1 if the recorded primary patient group is people aged 65 and over or immunosuppressed, 0 for children or adults, missing when no group is recorded.",primary_patient_group,"the registration questionnaire asked patient-facing physicians which patient group makes up more than eighty per cent of their patients, offering children, adults, people aged sixty-five and over, and immunosuppressed patients",registration questionnaire (Supplement S1)
01_Physicians,primary_patient_group,"Patient group making up more than eighty per cent of the physician's patients: children, adults, people aged 65 and over, or immunosuppressed patients. Defined only for physicians who examine patients face to face.",categorical,object,,Erişkin (n=118); Çocuk (n=24); 65 yaş ve üzeri (n=7); İmmünsüprese (n=1),150,154,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked patient-facing physicians which patient group makes up more than eighty per cent of their patients, offering children, adults, people aged sixty-five and over, and immunosuppressed patients",registration questionnaire (Supplement S1)
02_PersonWeeks,participant_id,Anonymous physician code (format HEKIM-xxxxxxxxx) linking one physician across every sheet; no name or contact detail is stored.,categorical,object,,248 distinct values,4729,0,RAW,Administrative identifier assigned at registration.,,,
02_PersonWeeks,week,"ISO year and week label of the reporting week, for example 2025-W40.",categorical,object,,33 distinct values,4729,0,RAW,ISO week label of the reporting week.,,,
02_PersonWeeks,week_idx,Season week counted from the start of surveillance: 1 is 2025-W40 and 33 is 2026-W20.,count,int64,week number (1-33),1.0 to 33.0,4729,0,DERIVED,Rank of the ISO week within the 33-week season window 2025-W40 to 2026-W20.,week,,
02_PersonWeeks,week_start_date,Monday date on which the reporting week begins.,date,datetime64[ns],,2025-09-29 to 2026-05-11,4729,0,DERIVED,ISO week label converted to the Monday of that week.,week,,
02_PersonWeeks,week_end_date,Sunday date on which the reporting week ends.,date,datetime64[ns],,2025-10-05 to 2026-05-17,4729,0,DERIVED,Week start date plus six days.,week,,
02_PersonWeeks,symptom_raw,"The weekly symptom answer exactly as recorded: no symptoms, a new illness beginning this week, or an illness already under way continuing.",categorical,object,,HAYIR (n=4129); EVET (n=497); EVET2 (n=103),4729,0,RAW,"Recorded answer or administrative field, carried unchanged.",,"the weekly reporting form asked whether the physician had symptoms of an influenza-like illness in the past week, and the form ended for those answering no",weekly reporting form (Supplement S1)
02_PersonWeeks,symptom_status,"The weekly symptom answer in English: none, new, or ongoing.",categorical,object,,none (n=4129); new (n=497); ongoing (n=103),4729,0,DERIVED,"The recorded weekly symptom answer translated to none, new or ongoing.",symptom_raw,"the weekly reporting form asked whether the physician had symptoms of an influenza-like illness in the past week, and the form ended for those answering no",weekly reporting form (Supplement S1)
02_PersonWeeks,symptomatic,"1 if the physician had influenza-like-illness symptoms that week, whether the illness was new or continuing.",binary,int64,,0=4129; 1=600,4729,0,DERIVED,"1 if the weekly symptom answer is either a new or a continuing illness, 0 if no symptoms.",symptom_raw,"the weekly reporting form asked whether the physician had symptoms of an influenza-like illness in the past week, and the form ended for those answering no",weekly reporting form (Supplement S1)
02_PersonWeeks,new_episode,"1 only in the week a new illness began, so summing this column counts episodes rather than weeks of illness.",binary,int64,,0=4232; 1=497,4729,0,DERIVED,"1 if the weekly symptom answer is a new illness, 0 otherwise.",symptom_raw,"the weekly reporting form asked whether the physician had symptoms of an influenza-like illness in the past week, and the form ended for those answering no",weekly reporting form (Supplement S1)
02_PersonWeeks,episode_id,"Code for one illness episode, formed as the physician code followed by an episode sequence number, so the weeks belonging to one illness group together.",identifier,object,,497 distinct values,600,4129,DERIVED,Physician code concatenated with the within-physician episode sequence number.,participant_id,,
02_PersonWeeks,episode_week,"Position of this week within its episode: 1 for the onset week, 2 for a continuation week.",ordinal,float64,,1=497; 2=103,600,4129,DERIVED,"Rank of the week within the episode, ordered by week.","episode_id, week_idx",,
02_PersonWeeks,agent_cluster,"The physician's clinical judgement of the likely agent group, in the original wording: cluster A viral with systemic effect, cluster B viral with local effect, cluster C bacterial, cluster D indistinguishable.",categorical,object,,B KÜMESİ (Viral - Lokal Etki) (n=428); A KÜMESİ (Viral - Sistemik Etki) (n=97); C KÜMESİ (Bakteriyel etkenler) (n=50); D Kümesi: Ayırt edemem/Bilmiyorum (n=25),600,4129,RAW,"Recorded answer or administrative field, carried unchanged.",,"the weekly reporting form asked the physician to judge from clinical experience which agent group could be causing the symptoms, offering cluster A viral with systemic effect, cluster B viral with local effect, cluster C bacterial agents, and cluster D indistinguishable",weekly reporting form (Supplement S1)
02_PersonWeeks,agent_A,"1 in any symptomatic week judged to be cluster A, whether the week is an onset or a continuation week.",binary,int64,,0=4632; 1=97,4729,0,DERIVED,"1 if the agent group for that week is A, 0 otherwise.",agent_cluster,"the weekly reporting form asked the physician to judge from clinical experience which agent group could be causing the symptoms, offering cluster A viral with systemic effect, cluster B viral with local effect, cluster C bacterial agents, and cluster D indistinguishable",weekly reporting form (Supplement S1)
02_PersonWeeks,daily_routine_impact,"Whether the daily routine changed because of the illness, in the original wording, distinguishing no change, change without time off work, time off work with outpatient follow-up, and time off work with inpatient follow-up.",categorical,object,,Evet - ancak İŞE ARA VEREMEDİM (n=43); Evet - İŞE ARA VERDİM: Ayaktan izlem ve tedavi (n=31); Hayır değişmedi - günlük aktivitelerime her zamanki gibi devam edebildim (n=22); Evet - İŞE ARA VERDİM: Yatış Gerektiren izlem ve tedavi (n=1),97,4632,RAW,"Recorded answer or administrative field, carried unchanged.",,"the weekly reporting form asked whether the daily routine changed because of the illness, distinguishing no change, change without being able to take time off work, time off work with outpatient follow-up, and time off work with inpatient follow-up",weekly reporting form (Supplement S1)
