analysis,code,pseudocode
A22 — Vaccination-uptake calibration and discrimination,"app, opt, corr, nrep = efron_optimism(F1_FORMULA, D1, ""vax"", B=1000, seed=20260707)
print(f""apparent AUC             {app:.5f}"")
print(f""Efron optimism           {opt:.5f}   ({nrep} replicates, seed 20260707)"")
print(f""optimism-corrected AUC   {corr:.5f}"")
p_hat = FIT1.predict(D1)
grp = pd.qcut(p_hat, 10, labels=False, duplicates=""drop"")
obs = D1.vax.groupby(grp).sum(); exp = p_hat.groupby(grp).sum(); n_g = p_hat.groupby(grp).size()
hl = (((obs - exp) ** 2) / (exp * (1 - exp / n_g))).sum()
df_hl = n_g.size - 2
print(f""\nHosmer-Lemeshow  chi-square {hl:.4f}, df {df_hl}, p = {stats.chi2.sf(hl, df_hl):.4f} ""
      f""({n_g.size} groups of fitted risk)"")
# The calibration slope on the fitting sample is one by construction, so it is
# estimated out of sample: fit in each bootstrap replicate, then regress the
# original outcome on the linear predictor that replicate produces.
rng = np.random.default_rng(20260707)
slopes = []
for _ in range(1000):
    db = D1.iloc[rng.integers(0, len(D1), len(D1))]
    if db.vax.nunique() < 2:
        continue
    try:
        fb = smf.logit(F1_FORMULA, data=db).fit(disp=0)
    except Exception:
        continue
    p_b = np.clip(fb.predict(D1), 1e-9, 1 - 1e-9)
    lp_b = np.log(p_b / (1 - p_b))
    try:
        slopes.append(smf.logit(""vax ~ lp_b"", data=D1.assign(lp_b=lp_b)).fit(disp=0).params[""lp_b""])
    except Exception:
        continue
cal_slope = float(np.mean(slopes))
print(f""bootstrap-validated calibration slope  {cal_slope:.5f} ""
      f""(1.0 indicates no overfitting of the risk scale; {len(slopes)} replicates)"")
record(""A22"", apparent=app, optimism=opt, corrected=corr, hl_chi2=float(hl),
       hl_df=int(df_hl), hl_p=float(stats.chi2.sf(hl, df_hl)), cal_slope=cal_slope)","1. Take the apparent area under the curve on the fitting sample.
2. Correct it for optimism with the Efron bootstrap, refitting the model in every one of the thousand replicates.
3. Assess calibration with the Hosmer-Lemeshow test on deciles of fitted risk and with the calibration slope, that is the coefficient from regressing the outcome on the linear predictor."
A22 — Vaccination-uptake calibration and discrimination,"rep248 <- phys[phys$cohort_248_reporter == 1, ]
m1dat  <- rep248[!is.na(rep248$comp_risk_any_nan), ]
cat(""reporting physicians :"", nrow(rep248),
    ""   with a health-condition response :"", nrow(m1dat),
    ""   declined (kept missing) :"", sum(is.na(rep248$comp_risk_any_nan)), ""\n"")
cat(""susceptibility levels in the analysis sample :"",
    paste(table(m1dat$ili_freq_ord4), collapse = "" / ""), ""\n\n"")

M1_FORM <- vax ~ prev_vax + age10 + female + university + sees_pat + comp_risk_any_nan +
                 school_kids_any + ili_freq_ord4
fit_M1 <- glm(M1_FORM, data = m1dat, family = binomial)
or_table <- function(f) { b <- coef(f); s <- summary(f)$coefficients[, 2]
  round(cbind(OR = exp(b), lower95 = exp(b - 1.96 * s), upper95 = exp(b + 1.96 * s),
              p = 2 * pnorm(-abs(b / s))), 5) }
print(or_table(fit_M1))
cat(""n ="", length(fit_M1$fitted.values), ""  vaccinated ="", sum(fit_M1$y), ""\n"")

auc_of <- function(y, p) as.numeric(auc(roc(y, p, quiet = TRUE, direction = ""<"")))
hoslem <- function(y, p, g = 10) {
  q <- cut(p, quantile(p, seq(0, 1, length.out = g + 1)), include.lowest = TRUE)
  o <- tapply(y, q, sum); e <- tapply(p, q, sum); n <- tapply(y, q, length)
  X <- sum((o - e)^2 / (e * (1 - e / n)))
  c(chi_square = X, df = g - 2, p = pchisq(X, g - 2, lower.tail = FALSE))
}
efron_optimism <- function(form, data, B = 1000, seed = 20260707) {
  set.seed(seed); f <- glm(form, data = data, family = binomial)
  dd <- model.frame(f); n <- nrow(dd)
  app_auc <- auc_of(f$y, f$fitted.values); o_auc <- numeric(B); o_slope <- numeric(B)
  for (b in seq_len(B)) {
    fb <- suppressWarnings(glm(form, data = dd[sample(n, n, TRUE), ], family = binomial))
    o_auc[b]   <- auc_of(fb$y, fb$fitted.values) -
                  auc_of(dd[[1]], as.numeric(predict(fb, newdata = dd, type = ""response"")))
    lp         <- as.numeric(predict(fb, newdata = dd, type = ""link""))
    o_slope[b] <- 1 - coef(suppressWarnings(glm(dd[[1]] ~ lp, family = binomial)))[2]
  }
  c(apparent_auc = app_auc, optimism_auc = mean(o_auc), corrected_auc = app_auc - mean(o_auc),
    corrected_slope = 1 - mean(o_slope))
}
cat(""\ndiscrimination and calibration (Efron bootstrap, 1,000 replicates, seed 20260707)\n"")
print(round(efron_optimism(M1_FORM, m1dat), 5))
cat(""Hosmer-Lemeshow :\n""); print(round(hoslem(fit_M1$y, fit_M1$fitted.values), 4))","1. Restrict to reporting physicians who answered the item on health conditions conferring a risk of influenza complications. Six physicians declined that item; those responses stay MISSING rather than being imputed to no, which fixes the analysis sample at 242 physicians.
2. Fit a binary logistic model for current-season vaccination on the pre-specified eight-term set: prior-season vaccination, age in ten-year units, sex, university affiliation, face-to-face patient examination, any health condition, any household school-age child, and susceptibility in four ordered levels. No variable selection.
3. Report odds ratios with Wald intervals and p-values, and the sample and event counts.
4. Compute the apparent area under the receiver operating characteristic curve.
5. Correct that area for optimism by the Efron bootstrap: draw one thousand samples with replacement from the analysis frame, refit the model in each replicate, and take the difference between the replicate's area on its own bootstrap sample and its area when applied to the original sample. The mean difference is the optimism; subtract it from the apparent value.
6. Assess calibration with the Hosmer-Lemeshow statistic over deciles of predicted risk on eight degrees of freedom, and with the bootstrap-corrected calibration slope, the apparent value of which is one by construction."
A23 — Susceptibility (annual ILI frequency) model,"d2 = phys[(phys.cohort_248_reporter == 1)].dropna(subset=[""comp_risk_any_nan""])
V2 = [""age10"", ""female"", ""comp_risk_any_nan"", ""school_kids_any"", ""hh"",
      ""allergy"", ""smoker_current"", ""sees_pat""]
lv = d2.ili_freq_ord4.value_counts().sort_index()
print(f""sample {len(d2)} physicians; four ordered outcome levels "" +
      "" / "".join(str(int(x)) for x in lv))
om = OrderedModel(d2.ili_freq_ord4, d2[V2], distr=""logit"").fit(method=""bfgs"", disp=0, maxiter=2000)
ci = om.conf_int()
print(pd.DataFrame({""cumulative_OR"": np.exp(om.params[V2]),
                    ""lo"": np.exp(ci[0][V2]), ""hi"": np.exp(ci[1][V2]),
                    ""p"": om.pvalues[V2]}).round(5).to_string())
raw = om.params[len(V2):].values                # first cut-point, then log increments
cuts = np.cumsum(np.r_[raw[0], np.exp(raw[1:])])
print(""\nestimated cut-points on the latent scale  "" +
      "", "".join(f""{c:.5f}"" for c in cuts))
record(""A23"", n=len(d2), levels=[int(x) for x in lv],
       or_age=float(np.exp(om.params[""age10""])), p_age=float(om.pvalues[""age10""]),
       or_school=float(np.exp(om.params[""school_kids_any""])),
       p_school=float(om.pvalues[""school_kids_any""]),
       or_comp=float(np.exp(om.params[""comp_risk_any_nan""])),
       p_comp=float(om.pvalues[""comp_risk_any_nan""]))
D2, OM2, V2_TERMS = d2, om, V2","1. The outcome is the self-reported annual influenza-like-illness frequency, collapsed to FOUR ordered levels. It is never treated as five levels.
2. Fit an ordinal proportional-odds logistic regression on the 242 physicians with a health-condition response.
3. The pre-specified adjustment set is age, sex, any health condition, household school-age children, household size, respiratory allergy, current tobacco use and face-to-face patient care.
4. Report cumulative odds ratios with intervals, and the estimated cut-points."
A23 — Susceptibility (annual ILI frequency) model,"m2dat   <- m1dat
m2dat$y <- factor(m2dat$ili_freq_ord4, levels = 0:3, ordered = TRUE)
M2_RHS  <- ""age10 + female + comp_risk_any_nan + school_kids_any + hh + allergy + smoker_current + sees_pat""
fit_M2  <- polr(as.formula(paste(""y ~"", M2_RHS)), data = m2dat, Hess = TRUE)
cf <- summary(fit_M2)$coefficients
k  <- length(fit_M2$coefficients); b <- cf[1:k, 1]; s <- cf[1:k, 2]
cat(""outcome distribution across the four ordered levels :"",
    paste(table(m2dat$y), collapse = "" / ""), ""   n ="", fit_M2$n, ""\n\n"")
print(round(cbind(cumulative_OR = exp(b), lower95 = exp(b - 1.96 * s),
                  upper95 = exp(b + 1.96 * s), p = 2 * pnorm(-abs(b / s))), 5))

fit_mn <- multinom(as.formula(paste(""y ~"", M2_RHS)), data = m2dat, trace = FALSE)
LR_po  <- deviance(fit_M2) - deviance(fit_mn)
df_po  <- fit_mn$edf - length(coef(fit_M2)) - length(fit_M2$zeta)
cat(sprintf(""\nproportional-odds assumption, likelihood ratio against the unconstrained multinomial : chi-square = %.4f, df = %d, p = %.4f\n"",
            LR_po, df_po, pchisq(LR_po, df_po, lower.tail = FALSE)))

fit_M2null <- polr(y ~ 1, data = m2dat, Hess = TRUE)
cat(sprintf(""McFadden pseudo R-squared = %.5f\n"", 1 - logLik(fit_M2) / logLik(fit_M2null)))
lp <- as.numeric(model.matrix(fit_M2)[, -1, drop = FALSE] %*% coef(fit_M2))
yy <- as.integer(m2dat$y); nc <- nd <- nt <- 0
for (i in 1:(length(yy) - 1)) for (j in (i + 1):length(yy)) {
  if (yy[i] == yy[j]) next
  sg <- sign(yy[i] - yy[j]) * sign(lp[i] - lp[j])
  if (sg > 0) nc <- nc + 1 else if (sg < 0) nd <- nd + 1 else nt <- nt + 1
}
cat(sprintf(""ordinal concordance = %.5f  (concordant %d, discordant %d, tied %d)\n"",
            (nc + 0.5 * nt) / (nc + nd + nt), nc, nd, nt))

joint <- c(""age10"", ""school_kids_any"", ""comp_risk_any_nan"", ""smoker_current"")
fit_M2red <- polr(y ~ female + hh + allergy + sees_pat, data = m2dat, Hess = TRUE)
LR_j <- deviance(fit_M2red) - deviance(fit_M2)
cat(sprintf(""joint test, likelihood-ratio form : chi-square = %.4f, df = 4, p = %.5f\n"",
            LR_j, pchisq(LR_j, 4, lower.tail = FALSE)))
V <- vcov(fit_M2); bb <- coef(fit_M2); idx <- match(joint, names(bb))
W <- as.numeric(t(bb[idx]) %*% solve(V[idx, idx]) %*% bb[idx])
cat(sprintf(""joint test, Wald form             : chi-square = %.4f, df = 4, p = %.5f\n"",
            W, pchisq(W, 4, lower.tail = FALSE)))","1. Use the same 242-physician frame. The outcome is self-reported annual influenza-like-illness frequency in FOUR ordered levels, distributed 8 / 153 / 67 / 14. It is never treated as five levels.
2. Fit a proportional-odds ordinal logistic model on the pre-specified set: age in ten-year units, sex, any health condition, any household school-age child, household size, respiratory allergy, current smoking, and face-to-face patient examination. Report cumulative odds ratios with Wald intervals.
3. Test the proportional-odds assumption by a likelihood-ratio comparison against the unconstrained multinomial model on the same predictors, which relaxes the constraint that one set of coefficients applies across all cut-points. Degrees of freedom are the difference in fitted parameters.
4. Report model fit as McFadden's pseudo R-squared against the intercept-only ordinal model, and discrimination as the ordinal concordance over all discordant pairs of the linear predictor.
5. Test the hypothesis jointly across age, household school-age children, health condition and current smoking. Report the likelihood-ratio form against the model with those four terms removed, and the Wald form alongside, because the two do not have to agree numerically."
A24 — Proportional-odds assumption test,"y = D2.ili_freq_ord4.values
X = sm.add_constant(D2[V2_TERMS].astype(float).values)
mn = sm.MNLogit(y, X).fit(disp=0, maxiter=2000)
ll_po, ll_mn = OM2.llf, mn.llf
k_po = len(OM2.params); k_mn = int(np.prod(mn.params.shape))
lr = 2 * (ll_mn - ll_po); df = k_mn - k_po
print(f""proportional-odds log-likelihood      {ll_po:.5f}  ({k_po} parameters)"")
print(f""unconstrained multinomial             {ll_mn:.5f}  ({k_mn} parameters)"")
print(f""likelihood-ratio test  chi-square {lr:.4f}, df {df}, p = {stats.chi2.sf(lr, df):.5f}"")
print(""a non-significant test leaves the proportional-odds constraint tenable"")
record(""A24"", lr=float(lr), df=int(df), p=float(stats.chi2.sf(lr, df)))","1. The proportional-odds model constrains each covariate to one coefficient shared across all cut-points. The unconstrained alternative is a multinomial model, which lets every coefficient vary by level.
2. Fit both on the same sample and compare them with a likelihood-ratio test. The degrees of freedom are the number of extra parameters the multinomial model spends.
3. A non-significant test means the shared-coefficient constraint is not contradicted by these data."
A24 — Proportional-odds assumption test,"m2dat   <- m1dat
m2dat$y <- factor(m2dat$ili_freq_ord4, levels = 0:3, ordered = TRUE)
M2_RHS  <- ""age10 + female + comp_risk_any_nan + school_kids_any + hh + allergy + smoker_current + sees_pat""
fit_M2  <- polr(as.formula(paste(""y ~"", M2_RHS)), data = m2dat, Hess = TRUE)
cf <- summary(fit_M2)$coefficients
k  <- length(fit_M2$coefficients); b <- cf[1:k, 1]; s <- cf[1:k, 2]
cat(""outcome distribution across the four ordered levels :"",
    paste(table(m2dat$y), collapse = "" / ""), ""   n ="", fit_M2$n, ""\n\n"")
print(round(cbind(cumulative_OR = exp(b), lower95 = exp(b - 1.96 * s),
                  upper95 = exp(b + 1.96 * s), p = 2 * pnorm(-abs(b / s))), 5))

fit_mn <- multinom(as.formula(paste(""y ~"", M2_RHS)), data = m2dat, trace = FALSE)
LR_po  <- deviance(fit_M2) - deviance(fit_mn)
df_po  <- fit_mn$edf - length(coef(fit_M2)) - length(fit_M2$zeta)
cat(sprintf(""\nproportional-odds assumption, likelihood ratio against the unconstrained multinomial : chi-square = %.4f, df = %d, p = %.4f\n"",
            LR_po, df_po, pchisq(LR_po, df_po, lower.tail = FALSE)))

fit_M2null <- polr(y ~ 1, data = m2dat, Hess = TRUE)
cat(sprintf(""McFadden pseudo R-squared = %.5f\n"", 1 - logLik(fit_M2) / logLik(fit_M2null)))
lp <- as.numeric(model.matrix(fit_M2)[, -1, drop = FALSE] %*% coef(fit_M2))
yy <- as.integer(m2dat$y); nc <- nd <- nt <- 0
for (i in 1:(length(yy) - 1)) for (j in (i + 1):length(yy)) {
  if (yy[i] == yy[j]) next
  sg <- sign(yy[i] - yy[j]) * sign(lp[i] - lp[j])
  if (sg > 0) nc <- nc + 1 else if (sg < 0) nd <- nd + 1 else nt <- nt + 1
}
cat(sprintf(""ordinal concordance = %.5f  (concordant %d, discordant %d, tied %d)\n"",
            (nc + 0.5 * nt) / (nc + nd + nt), nc, nd, nt))

joint <- c(""age10"", ""school_kids_any"", ""comp_risk_any_nan"", ""smoker_current"")
fit_M2red <- polr(y ~ female + hh + allergy + sees_pat, data = m2dat, Hess = TRUE)
LR_j <- deviance(fit_M2red) - deviance(fit_M2)
cat(sprintf(""joint test, likelihood-ratio form : chi-square = %.4f, df = 4, p = %.5f\n"",
            LR_j, pchisq(LR_j, 4, lower.tail = FALSE)))
V <- vcov(fit_M2); bb <- coef(fit_M2); idx <- match(joint, names(bb))
W <- as.numeric(t(bb[idx]) %*% solve(V[idx, idx]) %*% bb[idx])
cat(sprintf(""joint test, Wald form             : chi-square = %.4f, df = 4, p = %.5f\n"",
            W, pchisq(W, 4, lower.tail = FALSE)))","1. Use the same 242-physician frame. The outcome is self-reported annual influenza-like-illness frequency in FOUR ordered levels, distributed 8 / 153 / 67 / 14. It is never treated as five levels.
2. Fit a proportional-odds ordinal logistic model on the pre-specified set: age in ten-year units, sex, any health condition, any household school-age child, household size, respiratory allergy, current smoking, and face-to-face patient examination. Report cumulative odds ratios with Wald intervals.
3. Test the proportional-odds assumption by a likelihood-ratio comparison against the unconstrained multinomial model on the same predictors, which relaxes the constraint that one set of coefficients applies across all cut-points. Degrees of freedom are the difference in fitted parameters.
4. Report model fit as McFadden's pseudo R-squared against the intercept-only ordinal model, and discrimination as the ordinal concordance over all discordant pairs of the linear predictor.
5. Test the hypothesis jointly across age, household school-age children, health condition and current smoking. Report the likelihood-ratio form against the model with those four terms removed, and the Wald form alongside, because the two do not have to agree numerically."
A25 — Susceptibility model fit and joint hypothesis test,"om0 = OrderedModel(D2.ili_freq_ord4, np.zeros((len(D2), 0)), distr=""logit"").fit(disp=0)
mcf = 1 - OM2.llf / om0.llf
print(f""McFadden pseudo R-squared  {mcf:.5f}"")
lin = (D2[V2_TERMS].values * OM2.params[V2_TERMS].values).sum(axis=1)
yv = D2.ili_freq_ord4.values
conc = disc = ties = 0
for i in range(len(yv)):
    for j in range(i + 1, len(yv)):
        if yv[i] == yv[j]:
            continue
        hi_, lo_ = (i, j) if yv[i] > yv[j] else (j, i)
        if lin[hi_] > lin[lo_]:
            conc += 1
        elif lin[hi_] < lin[lo_]:
            disc += 1
        else:
            ties += 1
c_index = (conc + 0.5 * ties) / (conc + disc + ties)
print(f""ordinal concordance        {c_index:.5f}  ""
      f""({conc:,} concordant, {disc:,} discordant, {ties} tied pairs)"")
JOINT = [""comp_risk_any_nan"", ""school_kids_any"", ""hh"", ""allergy""]
b = OM2.params[JOINT].values
V = OM2.cov_params().loc[JOINT, JOINT].values
W = float(b @ np.linalg.solve(V, b))
print(f""\njoint Wald test on {len(JOINT)} terms  chi-square {W:.4f}, df {len(JOINT)}, ""
      f""p = {stats.chi2.sf(W, len(JOINT)):.5f}"")
record(""A25"", mcfadden=float(mcf), concordance=float(c_index), joint_chi2=float(W),
       joint_df=len(JOINT), joint_p=float(stats.chi2.sf(W, len(JOINT))))","1. McFadden's pseudo R-squared compares the fitted log-likelihood with that of an intercept-only ordinal model.
2. Ordinal concordance is the probability that a randomly chosen higher-level physician has a higher predicted latent score than a randomly chosen lower-level one, computed over all discordant pairs.
3. The hypothesis is a JOINT statement about the covariate block, so test it with a Wald test on the household, health-condition, contact and behavioural terms simultaneously rather than reading individual p-values."
A25 — Susceptibility model fit and joint hypothesis test,"m2dat   <- m1dat
m2dat$y <- factor(m2dat$ili_freq_ord4, levels = 0:3, ordered = TRUE)
M2_RHS  <- ""age10 + female + comp_risk_any_nan + school_kids_any + hh + allergy + smoker_current + sees_pat""
fit_M2  <- polr(as.formula(paste(""y ~"", M2_RHS)), data = m2dat, Hess = TRUE)
cf <- summary(fit_M2)$coefficients
k  <- length(fit_M2$coefficients); b <- cf[1:k, 1]; s <- cf[1:k, 2]
cat(""outcome distribution across the four ordered levels :"",
    paste(table(m2dat$y), collapse = "" / ""), ""   n ="", fit_M2$n, ""\n\n"")
print(round(cbind(cumulative_OR = exp(b), lower95 = exp(b - 1.96 * s),
                  upper95 = exp(b + 1.96 * s), p = 2 * pnorm(-abs(b / s))), 5))

fit_mn <- multinom(as.formula(paste(""y ~"", M2_RHS)), data = m2dat, trace = FALSE)
LR_po  <- deviance(fit_M2) - deviance(fit_mn)
df_po  <- fit_mn$edf - length(coef(fit_M2)) - length(fit_M2$zeta)
cat(sprintf(""\nproportional-odds assumption, likelihood ratio against the unconstrained multinomial : chi-square = %.4f, df = %d, p = %.4f\n"",
            LR_po, df_po, pchisq(LR_po, df_po, lower.tail = FALSE)))

fit_M2null <- polr(y ~ 1, data = m2dat, Hess = TRUE)
cat(sprintf(""McFadden pseudo R-squared = %.5f\n"", 1 - logLik(fit_M2) / logLik(fit_M2null)))
lp <- as.numeric(model.matrix(fit_M2)[, -1, drop = FALSE] %*% coef(fit_M2))
yy <- as.integer(m2dat$y); nc <- nd <- nt <- 0
for (i in 1:(length(yy) - 1)) for (j in (i + 1):length(yy)) {
  if (yy[i] == yy[j]) next
  sg <- sign(yy[i] - yy[j]) * sign(lp[i] - lp[j])
  if (sg > 0) nc <- nc + 1 else if (sg < 0) nd <- nd + 1 else nt <- nt + 1
}
cat(sprintf(""ordinal concordance = %.5f  (concordant %d, discordant %d, tied %d)\n"",
            (nc + 0.5 * nt) / (nc + nd + nt), nc, nd, nt))

joint <- c(""age10"", ""school_kids_any"", ""comp_risk_any_nan"", ""smoker_current"")
fit_M2red <- polr(y ~ female + hh + allergy + sees_pat, data = m2dat, Hess = TRUE)
LR_j <- deviance(fit_M2red) - deviance(fit_M2)
cat(sprintf(""joint test, likelihood-ratio form : chi-square = %.4f, df = 4, p = %.5f\n"",
            LR_j, pchisq(LR_j, 4, lower.tail = FALSE)))
V <- vcov(fit_M2); bb <- coef(fit_M2); idx <- match(joint, names(bb))
W <- as.numeric(t(bb[idx]) %*% solve(V[idx, idx]) %*% bb[idx])
cat(sprintf(""joint test, Wald form             : chi-square = %.4f, df = 4, p = %.5f\n"",
            W, pchisq(W, 4, lower.tail = FALSE)))","1. Use the same 242-physician frame. The outcome is self-reported annual influenza-like-illness frequency in FOUR ordered levels, distributed 8 / 153 / 67 / 14. It is never treated as five levels.
2. Fit a proportional-odds ordinal logistic model on the pre-specified set: age in ten-year units, sex, any health condition, any household school-age child, household size, respiratory allergy, current smoking, and face-to-face patient examination. Report cumulative odds ratios with Wald intervals.
3. Test the proportional-odds assumption by a likelihood-ratio comparison against the unconstrained multinomial model on the same predictors, which relaxes the constraint that one set of coefficients applies across all cut-points. Degrees of freedom are the difference in fitted parameters.
4. Report model fit as McFadden's pseudo R-squared against the intercept-only ordinal model, and discrimination as the ordinal concordance over all discordant pairs of the linear predictor.
5. Test the hypothesis jointly across age, household school-age children, health condition and current smoking. Report the likelihood-ratio form against the model with those four terms removed, and the Wald form alongside, because the two do not have to agree numerically."
A26 — Prior-season care-seeking model,"elig = phys[(phys.cohort_248_reporter == 1) & (phys.had_ili_prev == 1)]
d3 = elig.dropna(subset=[""comp_risk_any_nan""])
F3 = (""sought_care ~ age10 + female + comp_risk_any_nan + ili_freq_ord4 + prev_vax ""
      ""+ smoker_current + allergy"")
fit3 = smf.logit(F3, data=d3).fit(disp=0)
print(f""eligible (reported prior-season illness) {len(elig)}; ""
      f""in the model {len(d3)}; events {int(d3.sought_care.sum())}"")
print(pd.DataFrame({""OR"": np.exp(fit3.params), ""lo"": np.exp(fit3.conf_int()[0]),
                    ""hi"": np.exp(fit3.conf_int()[1]), ""p"": fit3.pvalues}).round(5).to_string())
record(""A26"", n_eligible=len(elig), n=len(d3), events=int(d3.sought_care.sum()),
       or_susc=float(np.exp(fit3.params[""ili_freq_ord4""])),
       p_susc=float(fit3.pvalues[""ili_freq_ord4""]),
       or_age=float(np.exp(fit3.params[""age10""])), p_age=float(fit3.pvalues[""age10""]),
       or_smoke=float(np.exp(fit3.params[""smoker_current""])),
       p_smoke=float(fit3.pvalues[""smoker_current""]),
       or_prev_vax=float(np.exp(fit3.params[""prev_vax""])),
       p_prev_vax=float(fit3.pvalues[""prev_vax""]))
D3, FIT3, F3_FORMULA = d3, fit3, F3","1. The population is physicians who reported an influenza-like illness in the previous season, since only they could have sought care for one. Among reporting physicians that is 201; 195 of those answered the health-condition question.
2. The outcome is whether care was sought at a health facility.
3. The pre-specified adjustment set is age, sex, any health condition, susceptibility, prior-season vaccination, current tobacco use and respiratory allergy."
A26 — Prior-season care-seeking model,"elig <- rep248[rep248$had_ili_prev == 1, ]
m3dat <- elig[!is.na(elig$comp_risk_any_nan), ]
cat(""reported a prior-season illness  :"", nrow(elig), ""\n"")
cat(""of those, answered the health-condition item (analysis sample) :"", nrow(m3dat), ""\n"")
cat(""sought care (events)             :"", sum(m3dat$sought_care), ""\n\n"")

M3_FORM <- sought_care ~ age10 + female + comp_risk_any_nan + ili_freq_ord4 + prev_vax +
                         smoker_current + allergy
fit_M3 <- glm(M3_FORM, data = m3dat, family = binomial)
print(or_table(fit_M3))
cat(""\ndiscrimination and calibration (Efron bootstrap, 1,000 replicates, seed 20260707)\n"")
print(round(efron_optimism(M3_FORM, m3dat), 5))
cat(""Hosmer-Lemeshow :\n""); print(round(hoslem(fit_M3$y, fit_M3$fitted.values), 4))

fit_M3red <- glm(sought_care ~ female + comp_risk_any_nan, data = m3dat, family = binomial)
LR3 <- fit_M3red$deviance - fit_M3$deviance
cat(sprintf(""joint test, likelihood-ratio form : chi-square = %.4f, df = 5, p = %.6f\n"",
            LR3, pchisq(LR3, 5, lower.tail = FALSE)))
b3 <- coef(fit_M3); V3 <- vcov(fit_M3)
i3 <- match(c(""age10"", ""ili_freq_ord4"", ""smoker_current"", ""allergy"", ""prev_vax""), names(b3))
W3 <- as.numeric(t(b3[i3]) %*% solve(V3[i3, i3]) %*% b3[i3])
cat(sprintf(""joint test, Wald form             : chi-square = %.4f, df = 5, p = %.6f\n"",
            W3, pchisq(W3, 5, lower.tail = FALSE)))","1. Eligibility is reporting an influenza-like illness in the prior season; the outcome is whether that illness led to a presentation at a health facility. NOTE that eligibility and outcome derive from the same question on the registration questionnaire, so the outcome logically implies eligibility: nobody can have presented for a prior-season illness they did not report having. The eligible set is therefore not an independent restriction, and the model estimates who among those reporting an illness sought care.
2. Of 201 eligible physicians, 195 answered the health-condition item and enter the model; 53 sought care.
3. Fit a binary logistic model on the pre-specified set: age in ten-year units, sex, any health condition, susceptibility in four ordered levels, prior-season vaccination, current smoking and respiratory allergy. No variable selection.
4. Report odds ratios with intervals and p-values, the apparent area under the curve, the Efron bootstrap optimism correction and corrected calibration slope, the Hosmer-Lemeshow statistic, and the joint test across age, susceptibility, smoking, allergy and prior-season vaccination in both the likelihood-ratio and Wald forms."
"A27 — Care-seeking calibration, discrimination and joint test","app, opt, corr, nrep = efron_optimism(F3_FORMULA, D3, ""sought_care"", B=1000, seed=20260707)
print(f""apparent AUC             {app:.5f}"")
print(f""Efron optimism           {opt:.5f}   ({nrep} replicates, seed 20260707)"")
print(f""optimism-corrected AUC   {corr:.5f}"")
p_hat = FIT3.predict(D3)
grp = pd.qcut(p_hat, 10, labels=False, duplicates=""drop"")
obs = D3.sought_care.groupby(grp).sum(); exp = p_hat.groupby(grp).sum(); n_g = p_hat.groupby(grp).size()
hl = (((obs - exp) ** 2) / (exp * (1 - exp / n_g))).sum(); df_hl = n_g.size - 2
print(f""\nHosmer-Lemeshow  chi-square {hl:.4f}, df {df_hl}, p = {stats.chi2.sf(hl, df_hl):.4f}"")
JOINT = [""age10"", ""comp_risk_any_nan"", ""ili_freq_ord4"", ""prev_vax"", ""smoker_current""]
b = FIT3.params[JOINT].values; V = FIT3.cov_params().loc[JOINT, JOINT].values
W = float(b @ np.linalg.solve(V, b))
print(f""joint Wald test on {len(JOINT)} terms  chi-square {W:.4f}, df {len(JOINT)}, ""
      f""p = {stats.chi2.sf(W, len(JOINT)):.6f}"")
record(""A27"", apparent=app, optimism=opt, corrected=corr, joint_chi2=float(W),
       joint_df=len(JOINT), joint_p=float(stats.chi2.sf(W, len(JOINT))))","1. Apparent area under the curve, then Efron optimism correction with a thousand refitted replicates.
2. Hosmer-Lemeshow test on groups of fitted risk.
3. Joint Wald test on the block of terms the hypothesis names, rather than reading any single coefficient as the answer."
