spec_id,measured_quantity,smoothing,baseline_weeks,sd_threshold,consensus_rule,n_part_alarms,n_sent_alarms,kappa — full season (33 weeks),kappa — early-warning window (19 weeks),is_specification_of_record
21,A-cluster positivity (%),symmetric MA-3,7,2.0,>=1,9,8,0.76259,0.89017,False
22,A-cluster positivity (%),symmetric MA-3,7,2.0,>=2,7,6,0.52174,0.61745,False
23,A-cluster positivity (%),symmetric MA-3,7,3.0,>=1,8,7,0.74151,0.88344,False
24,A-cluster positivity (%),symmetric MA-3,7,3.0,>=2,7,5,0.39264,0.45714,False
25,weekly count,raw,5,2.0,>=1,14,7,0.40241,0.67052,False
26,weekly count,raw,5,2.0,>=2,5,5,0.29286,0.37705,False
27,weekly count,raw,5,3.0,>=1,12,7,0.49673,0.77381,False
28,weekly count,raw,5,3.0,>=2,3,4,0.52174,0.61224,False
29,weekly count,raw,7,2.0,>=1,9,7,0.50746,0.65031,False
30,weekly count,raw,7,2.0,>=2,3,5,0.4359,0.49558,False
31,weekly count,raw,7,3.0,>=1,8,7,0.56919,0.75949,False
32,weekly count,raw,7,3.0,>=2,3,4,0.52174,0.61224,False
33,weekly count,causal MA-3,5,2.0,>=1,17,8,0.34358,0.68156,False
34,weekly count,causal MA-3,5,2.0,>=2,12,7,0.49673,0.67052,False
35,weekly count,causal MA-3,5,3.0,>=1,17,8,0.34358,0.68156,False
36,weekly count,causal MA-3,5,3.0,>=2,10,6,0.51471,0.75641,False
37,weekly count,causal MA-3,7,2.0,>=1,15,8,0.42775,0.68156,False
38,weekly count,causal MA-3,7,2.0,>=2,12,7,0.49673,0.77381,False
39,weekly count,causal MA-3,7,3.0,>=1,14,8,0.4741,0.78409,False
40,weekly count,causal MA-3,7,3.0,>=2,8,5,0.52722,0.72857,False
41,weekly count,symmetric MA-3,5,2.0,>=1,17,8,0.34358,0.68156,False
42,weekly count,symmetric MA-3,5,2.0,>=2,12,7,0.49673,0.67052,False
43,weekly count,symmetric MA-3,5,3.0,>=1,17,8,0.34358,0.68156,False
44,weekly count,symmetric MA-3,5,3.0,>=2,9,6,0.57364,0.87248,False
45,weekly count,symmetric MA-3,7,2.0,>=1,15,8,0.42775,0.68156,False
46,weekly count,symmetric MA-3,7,2.0,>=2,11,6,0.46154,0.75641,False
47,weekly count,symmetric MA-3,7,3.0,>=1,13,7,0.4477,0.77381,False
48,weekly count,symmetric MA-3,7,3.0,>=2,7,5,0.59509,0.85496,False
49,rate per 100,raw,5,2.0,>=1,5,7,0.59509,0.62745,False
50,rate per 100,raw,5,2.0,>=2,4,6,0.53191,0.57778,False
51,rate per 100,raw,5,3.0,>=1,5,7,0.59509,0.62745,False
52,rate per 100,raw,5,3.0,>=2,1,5,0.29787,0.26923,False
53,rate per 100,raw,7,2.0,>=1,5,7,0.59509,0.62745,False
54,rate per 100,raw,7,2.0,>=2,3,6,0.36782,0.40625,False
55,rate per 100,raw,7,3.0,>=1,5,7,0.59509,0.62745,False
56,rate per 100,raw,7,3.0,>=2,1,4,0.36943,0.34483,False
57,rate per 100,causal MA-3,5,2.0,>=1,7,8,0.74151,0.77647,False
58,rate per 100,causal MA-3,5,2.0,>=2,4,7,0.67752,0.62745,False
59,rate per 100,causal MA-3,5,3.0,>=1,6,8,0.81967,0.77647,False
60,rate per 100,causal MA-3,5,3.0,>=2,4,6,0.76596,0.73239,False
61,rate per 100,causal MA-3,7,2.0,>=1,6,8,0.81967,0.77647,False
62,rate per 100,causal MA-3,7,2.0,>=2,4,7,0.67752,0.62745,False
63,rate per 100,causal MA-3,7,3.0,>=1,6,8,0.81967,0.77647,False
64,rate per 100,causal MA-3,7,3.0,>=2,3,4,0.84058,0.82569,False
65,rate per 100,symmetric MA-3,5,2.0,>=1,7,8,0.74151,0.77647,False
66,rate per 100,symmetric MA-3,5,2.0,>=2,4,7,0.67752,0.62745,False
67,rate per 100,symmetric MA-3,5,3.0,>=1,6,8,0.81967,0.77647,False
68,rate per 100,symmetric MA-3,5,3.0,>=2,4,6,0.76596,0.73239,False
69,rate per 100,symmetric MA-3,7,2.0,>=1,5,8,0.71633,0.65868,False
70,rate per 100,symmetric MA-3,7,2.0,>=2,4,6,0.76596,0.73239,False
71,rate per 100,symmetric MA-3,7,3.0,>=1,5,7,0.79755,0.75949,False
72,rate per 100,symmetric MA-3,7,3.0,>=2,3,5,0.71795,0.68852,False
