analysis_id,analysis_name,model_id,hypothesis_or_objective,outcome,exposure_key_predictor,analysis_population,n,estimator,risk_set,manuscript_source,has_thesis_figure,current_supplement_pseudocode,group,assignment_reason,data_source_sheets,derives_panel_structure_in_notebook
A16,Weekly surveillance indicator panel,none,"Objective 1, Objective 4","weekly reporters, person-weeks, episodes, A-episodes, positivity",ISO week,"33 ISO weeks, both streams",33 weeks,Weekly aggregation of both streams; sparse-week flagging,Weekly aggregate,Table 3.19; Section 3.6.1,yes (Fig 3.6.1),absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A17,Count-versus-rate trend check on the weekly series,none,Objective 1 (interpretive safeguard),weekly episode count; weekly incidence rate,ISO week,33 ISO weeks,33 weeks,Pearson correlation of each series against week index,Weekly aggregate,Section 3.6.1 (P0695),no,absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A18,Dashboard reach and summary counters,none,Objective 5 (dissemination),"participants, visitors, page views, summary shares",none,Dashboard season totals,"304 physicians; 1,504 visitors; 3,833 views",Service-reported counters; summary proportions,Season aggregate,Section 3.1.5,yes (Fig 3.1.5),absent,S3.1,"Platform-reported counters; no estimand, so it sits with the descriptive group",01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A19,Person-week panel structure and counting-process construction,none,Shared preliminary for all person-week models,"panel row definition; (start, stop] intervals; at-risk flag",none,Reporting cohort person-weeks,"4,729 person-weeks; 4,626 at risk; 103 continuation weeks",Panel construction and derivation checks,All filed person-weeks,Section 3.5 (P0664); Table 3.14 note,no,S3.1,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,yes
A20,Vaccinated person-week partition under the two-week interval,M6,H6 (specification component),protected vs unprotected person-weeks,time-varying vaccination,Person-weeks of vaccinated physicians,"1,874 person-weeks of 91 vaccinated physicians",Enumeration of the time-varying exposure partition,Person-weeks,Section 3.5 (P0664); Table 3.17 note,no,S3.3 / S3.19,S3.2,"Enumeration serving the M6 estimand, so it belongs with the individual-level group rather than descriptives",01_Physicians; 02_PersonWeeks,yes
A21,Vaccination uptake model,M1,H7,current-season vaccination,prior-season vaccination,Reporters with a comorbidity response,"242 physicians, 90 vaccinated",Binary logistic regression; Efron bootstrap optimism correction,Physician level,Table 3.11; Section 3.4.1,no,absent,S3.2,,01_Physicians; 02_PersonWeeks,no
A22,Vaccination-uptake calibration and discrimination,M1,H7 (model adequacy),predicted probability of vaccination,none,Same as A21,242 physicians,Apparent and optimism-corrected AUC; Hosmer-Lemeshow; calibration slope,Physician level,Section 3.4.1,no,absent,S3.2,,01_Physicians; 02_PersonWeeks,no
A28,Primary ILI incidence model (shared gamma-frailty Andersen-Gill),M5,"H2, H3, H4",new ILI episode,"time-varying vaccination, plus the pre-specified adjustment set of age, sex, patient-facing care, household school-age children, comorbidity, public-transport use, susceptibility, prior-season care-seeking, physical activity, current smoking, respiratory allergy and the social-contact score (thirteen terms)",Reporting cohort person-weeks,"4,729 person-weeks, 248 physicians, 497 episodes","Shared gamma-frailty Andersen-Gill, counting process, Efron ties",Full filed panel,Table 3.14; Section 3.5.1,no,S3.2,S3.2,,01_Physicians; 02_PersonWeeks,no
A28b,Immortal-time ladder for the vaccination contrast (four rungs),M6,H6 (exposure-definition sensitivity),new influenza-like-illness episode,"ever-vaccinated then time-varying vaccination, across four rungs: naive person-level Cox on time to first episode; Andersen-Gill with a fixed ever-vaccinated term; Andersen-Gill with the time-varying term; and the adopted Andersen-Gill with the time-varying term and a shared gamma frailty",the reporting cohort,"4,729 person-weeks, 248 physicians, 497 episodes",Cox and Andersen-Gill; rungs two and three deliberately without frailty so each rung carries its own specification,filed person-weeks,Section 3.5,yes,S3.2,S3.2,individual-level exposure definition,02_PersonWeeks,no
A29,Frailty variance interval and likelihood-ratio test,M5,H2-H4 (heterogeneity),frailty variance theta,none,Same as A28,"4,729 person-weeks",Profile-likelihood interval; LR test vs frailty-free with boundary correction,Full filed panel,Table 3.14; Section 3.5.1,no,S3.2,S3.2,,01_Physicians; 02_PersonWeeks,no
A30,Descriptive univariable covariate profile for the incidence model (reported for transparency; no covariate enters or leaves any model as a consequence of it),M5,H2-H4 (transparency),new ILI episode,"each candidate covariate singly, then all together",Reporting cohort person-weeks,"248 physicians, 497 episodes (multivariable on 4,668 weeks)",Andersen-Gill with physician-clustered robust variance,Filed panel; complete-case for the joint column,Table 3.15; Section 3.5.2,no,absent,S3.5,"Reported for transparency about the covariate space and explicitly not model-selecting, so it is a sensitivity/auxiliary analysis rather than the estimand of record",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A31,Estimator-family comparison for the incidence model,M5,H2-H4 (robustness),new ILI episode,"the four focal terms (vaccination, age, household school-age children, susceptibility) compared across estimator families; the primary fit carries all thirteen terms",Reporting cohort person-weeks,"248 physicians, 497 episodes",Six recurrent-event and count families on one specification,Filed panel; gap time for the PWP family,Table 3.16; Section 3.5.2,yes (Fig 3.5.1),S3.4,S3.5,"Robustness of the M5 estimate across estimators, so it sits with the sensitivity group",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A32,"Vaccine effectiveness, all-ILI and by agent cluster",M6,H6,new ILI episode; cluster-specific episode,time-varying vaccine protection,Reporting cohort person-weeks,"4,729 person-weeks; 497 all-ILI, 91 A, 341 B, 43 C, 22 D episodes",Shared gamma-frailty Andersen-Gill with time-varying exposure; VE = (1-HR)x100,Full filed panel,Table 3.17; Section 3.5.3,no,S3.3 / S3.19,S3.2,,01_Physicians; 02_PersonWeeks,no
A33,A-versus-B cluster contrast (ratio of hazard ratios),M6,H6 (negative control),cluster-specific episode,vaccine protection by cluster,Reporting cohort person-weeks,91 A and 341 B episodes,Ratio of hazard ratios with a delta-method interval,Full filed panel,Table 3.17; Section 3.5.3,no,S3.3,S3.2,,01_Physicians; 02_PersonWeeks,no
A34,Exposed-event accounting for the vaccine contrast,M6,H6 (precision),exposed events per cluster,vaccine protection,Incident episodes,164/497 all-ILI; 21/91 A; 122/341 B; 13/43 C; 8/22 D,Cross-tabulation of events by exposure state,Episode level,Table 3.17 note; Section 3.5.3,no,S3.19,S3.2,,01_Physicians; 02_PersonWeeks,no
A35,Minimum detectable vaccine effect and achieved power,M6,H6 (design),detectable log hazard ratio,protected person-time share,Design quantities,497 and 91 events; protected share 0.3411,Schoenfeld formula at 80% power; power at an assumed true effect,Design level,Section 2.10; Section 3.5.3; Table 2.7,no,S3.12,S3.5,"A design-boundary calculation rather than an estimate on the data, so it belongs with the sensitivity and other analyses",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A36,Naive ever-vaccinated comparison (two-week interval sensitivity),M6,H6 (sensitivity),new ILI episode,ever-vaccinated vs time-varying coding,Reporting cohort person-weeks,"1,874 vaccinated person-weeks",Re-estimation under the alternative exposure coding,Full filed panel,Section 3.5 (P0664); Supplement,no,S3.3,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A37,Vaccinated-versus-unvaccinated covariate balance,M6,H6 (interpretation),comorbidity; household school-age children,current-season vaccination,Reporting cohort,248 physicians,Proportions by vaccination status,Physician level,Section 3.5.3 (P0681),no,absent,S3.5,"Supports the interpretation of the vaccine contrast rather than estimating it, so it sits with the sensitivity group",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A38,Occupational exposure model,M8,H5,new ILI episode,"aerosol share, patient volume, on-call shifts, mask use",Patient-facing physicians with complete occupational data,"110 physicians, 1,724 at-risk person-weeks, 199 episodes","Shared gamma-frailty Andersen-Gill, main effects only",At-risk person-weeks of the subgroup,Table 3.18; Section 3.5.4,no,absent,S3.2,,01_Physicians; 02_PersonWeeks,no
A39,Joint test of the four occupational terms,M8,H5,new ILI episode,the four occupational terms jointly,Same as A38,"110 physicians, 199 episodes",Four-degree-of-freedom Wald test,Subgroup at-risk person-weeks,Section 3.5.4,no,absent,S3.2,,01_Physicians; 02_PersonWeeks,no
A40,Recurrence count model in the occupational subgroup,M8,H5 (recurrence),episode count per physician,the occupational terms,Same as A38,110 physicians,Negative-binomial regression with a log at-risk-week offset; Poisson comparison,Physician level with offset,Table 3.18; Section 3.5.4,no,absent,S3.2,,01_Physicians; 02_PersonWeeks,no
A41,Season-level agreement of the two positivity series,M9,H1,"season positivity, both streams",stream,Season totals,"497 episodes; 3,779 specimens",Proportions with exact binomial intervals; percentage-point difference,Season aggregate,Section 3.6 (P0693); Supplement S6.2,no,S6.2,S3.3,,04_WeeklySystem,no
A42,Measurement reliability and the attenuation ceiling,M9,H1 (measurement),reliability of each weekly series,none,"33 weeks, both streams, raw scale",33 weeks,Variance decomposition into signal and binomial error; geometric-mean ceiling,"Weekly aggregate, raw series only",Section 3.6 (P0692); Supplement S6.3,yes (Fig 3.6.2 right),S3.22 / S6.3,S3.3,,04_WeeklySystem,no
A43,Phase-stratified concordance of the two positivity series,M9,H1 (primary),sentinel positivity vs participatory A-share,epidemic phase,"33 weeks, both streams, causal MA-3",33 weeks (10 / 9 / 14; 19 in the early-warning window),Pearson and Spearman correlation; moving-block bootstrap intervals,"Weekly aggregate, smoothed",Table 3.20; Section 3.6.2,yes (Fig 3.6.2),S3.7 / S6.4,S3.3,,04_WeeklySystem,no
A44,Detrended and first-difference concordance checks,M9,H1 (robustness),detrended and differenced series,epidemic phase,Early-warning window and pre-epidemic phase,19 and 10 weeks,Correlation after linear detrending and on first differences,"Weekly aggregate, smoothed",Section 3.6.2 (P0709),no,absent,S3.5,Robustness checks on the concordance estimate rather than the estimate of record,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A45,Complete-window smoothing sensitivity,M9,H1 (edge convention),full-season concordance,smoothing edge rule,33 versus 31 weeks,33 and 31 weeks,Re-estimation of the correlation under complete windows only,Weekly aggregate,Table 3.20 final column; Section 3.6.2,no,S6.4,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A46,Lead-lag cross-correlation profile,M9,H1 (timeliness),cross-correlation by lag,weekly lag -4 to +4,"33 weeks, both streams, causal MA-3",33 weeks; 29 to 33 pairs per lag,Cross-correlation across lags under a fixed sign convention,"Weekly aggregate, smoothed",Section 3.6.3; Supplement S6.5,yes (Fig 3.6.3 upper),S3.8 / S3.21 / S6.5,S3.3,,04_WeeklySystem,no
A47,Peak-lag identifiability under the lag-preserving bootstrap,M9,H1 (timeliness),modal peak lag and its interval,weekly lag,"33 weeks, both streams","2,000 resamples, block length 4",Moving-block bootstrap of the whole lag procedure with pairing preserved,"Weekly aggregate, smoothed",Section 3.6.3; Supplement S6.5,yes (Fig 3.6.3 lower),S3.21,S3.3,,04_WeeklySystem,no
A48,Pairing-broken resampling comparison,M9,H1 (procedure diagnostic),peak-lag distribution,resampling scheme,"33 weeks, both streams","2,000 resamples",Alternative resampling that re-forms lagged pairs after resampling,"Weekly aggregate, smoothed",Section 3.6.3 (P0712),yes (Fig 3.6.3 lower),S3.21,S3.5,"A diagnostic showing the artefact of an incorrect procedure, so it belongs with the sensitivity group rather than the estimand of record",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A49,Timing landmarks within the wave,M9,H1 (timeliness),peak week; half-maximum week,stream,Epidemic wave weeks,33 weeks,Identification of peak and half-maximum weeks in each smoothed series,"Weekly aggregate, smoothed",Section 3.6.3 (P0712),no,absent,S3.3,,04_WeeklySystem,no
A50,Bland-Altman limits of agreement,M9,H1 (agreement in level),weekly difference between the two positivity series,none,"33 weeks, raw scale",33 weeks,Mean difference with 1.96 SD limits of agreement,"Weekly aggregate, raw",Section 3.6.3 (P0716),no,absent,S3.3,,04_WeeklySystem,no
A51,Calibration regression of one series on the other,M9,H1 (agreement in scale),sentinel positivity,participatory positivity,"33 weeks, both scales",33 weeks,"Ordinary least squares slope and intercept, smoothed and raw",Weekly aggregate,Section 3.6.3 (P0716),no,absent,S3.3,,04_WeeklySystem,no
A52,MEM epidemic-phase and intensity thresholds,M10,Objective 4,epidemic onset and intensity thresholds,historical sentinel positivity,Ten historical Turkish sentinel seasons,10 seasons; thresholds applied to 33 weeks,Moving Epidemic Method,Historical season aggregate,Section 2.6; Section 3.6; Figure 2.6.1,yes (Fig 2.6.1),S3.13 / S6.1,S3.3,,external: ten historical sentinel seasons (not in the release),no
A53,Epidemic-week discrimination (AUC),M10,"H1 (operational), Objective 4",MEM epidemic week,each candidate weekly indicator,33 weeks,33 weeks (9 epidemic),Area under the ROC curve with bootstrap intervals,Weekly aggregate,Table 3.21; Section 3.6.4,no,S3.10 / S6.6,S3.3,,04_WeeklySystem,no
A54,Calendar-window discrimination check,M10,H1 (circularity check),calendar-defined epidemic week,sentinel positivity,33 weeks,33 weeks,AUC against a window taking no sentinel input,Weekly aggregate,Section 3.6.4 (P0721); Supplement S6.6,no,S6.6,S3.3,,04_WeeklySystem,no
A55,Six-detector aberration panel under the locked specification,M10,"H1 (operational), Objective 4",weekly alarm state per detector and stream,weekly value of the monitored series,"33 weeks, both streams",33 weeks; 26 alarm-eligible after warm-up,"EARS C1-C3, EWMA, percentile threshold and negative-binomial CUSUM with warm-up","Weekly aggregate, smoothed","Table 3.19, Table 3.22; Section 3.6.4","yes (Fig 3.6.4, 3.6.5)",S3.9 / S6.7.1,S3.3,,04_WeeklySystem,no
A56,Alarm concordance by epidemic phase,M10,H1 (operational),alarm agreement between streams,epidemic phase,33 weeks,33 weeks (10 / 9 / 19 / 14 / 33),"Agreement, Cohen kappa, sensitivity, PPV, phi and required weeks",Weekly aggregate,Table 3.22; Section 3.6.4,no,S6.7.1,S3.3,,04_WeeklySystem,no
A57,CUSUM reset-rule equivalence check,M10,H1 (specification detail),CUSUM alarm set,reset versus no reset after an alarm,"33 weeks, both streams",6 parameter combinations,Comparison of alarm sets under both accumulator rules,Weekly aggregate,Supplement S6.1 (locked protocol),no,S3.9 (rule stated),S3.5,"A specification detail verified by comparison, so it sits with the sensitivity group",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A58,Specification curve for alarm concordance,M10,"H1 (operational), Objective 4",early-window kappa,analytical specification,"33 weeks, both streams",72 specifications,Full enumeration of defensible specifications with the locked one located on it,Weekly aggregate,Section 3.6.4; Supplement S6.7,yes (Fig 3.6.6),S6.7,S3.5,"A deliberate enumeration of analytical choices around the locked estimate, so it belongs with the sensitivity group",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A59,Alarm-window influence of the sparse closing week,M10,H1 (fragility),full-season kappa,inclusion of the flagged week,33 versus 32 weeks,33 and 32 weeks,Recomputation of kappa with the flagged week removed,Weekly aggregate,Section 3.6.4 (P0732); Table 3.22,no,S6.7.1,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A60,Sparse-week flagging rule,none,Objective 4 (data quality),weeks below the participatory denominator threshold,weekly episode denominator,33 weeks,5 of 33 weeks,"Threshold rule applied as disclosure, never exclusion",Weekly aggregate,Section 3.6.1; Table 3.24; Supplement S6.1,no,S6.1,S3.4,A data-quality property of the weekly denominator; grouped with panel validity because it characterises the sampling base rather than a system-level estimand,01_Physicians; 02_PersonWeeks,no
A61,Baseline comparison of reporters and never-reporters,M4,Objective 3 (validity),baseline characteristic,reporting status,Full registry,304 physicians (248 vs 56); comorbidity row 242 vs 56,Standardized mean differences; Fisher exact and Mann-Whitney tests,Physician level,Table 3.23; Section 3.7.1,no,absent,S3.4,,01_Physicians; 02_PersonWeeks,no
A62,Reporting-propensity model,M4,Objective 3 (validity),filed at least one weekly report,pre-specified baseline set,Registrants with complete baseline data,"298 registrants, 242 reporters",Binary logistic regression; Efron bootstrap optimism correction,Physician level,Table 3.24; Section 3.7.2,no,S3.5,S3.4,,01_Physicians; 02_PersonWeeks,no
A63,"Stabilized reporting weights, Kish effective sample and design effect",M4,Objective 3 (validity),stabilized weight distribution,fitted reporting propensity,Reporters within the propensity model,242 reporters,Stabilized weighting; Kish effective sample size and design effect,Physician level,Table 3.24; Section 3.7.2,no,S3.5,S3.4,,01_Physicians; 02_PersonWeeks,no
A64,IPRW re-estimation of the primary incidence model,M4,Objective 3 (sensitivity),new ILI episode,the four pre-specified covariates under weights,Reporting cohort person-weeks,"4,729 person-weeks",Weighted re-fit of the primary model; shift expressed against each interval width,Full filed panel,Section 3.7.2; Table 3.24,no,S3.5,S3.5,"Explicitly one sensitivity analysis and not the estimation method, so it belongs with the sensitivity group",01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A65,Association of reporting propensity with the episode rate,M4,Objective 3 (validity),episode rate,fitted reporting propensity,Reporting cohort,248 physicians,Offset Poisson rate ratio; tertile rates; weight-count correlation,At-risk person-weeks and physician level,Table 3.24; Section 3.7.2,no,absent,S3.4,,01_Physicians; 02_PersonWeeks,no
A66,Engagement-stratum exposure profile comparison,M4,Objective 3 (validity),baseline and occupational characteristics,engagement stratum (high vs low),Extreme engagement strata,105 high and 37 low,Chi-square tests and the Mann-Whitney U test,Physician level,Section 3.7.2; Table 3.24,no,absent,S3.4,,01_Physicians; 02_PersonWeeks,no
A67,Reporting-intensity gradient in incidence,M7a,Objective 3 (validity),episode count per physician,weeks reported (per ten weeks),Reporting cohort,"248 physicians, 4,626 at-risk person-weeks",Poisson regression with a log at-risk-week offset and robust variance,Physician level with offset,Section 3.7.2; Table 3.24,no,S3.16,S3.4,,01_Physicians; 02_PersonWeeks,no
A68,Stratum-specific incidence rates,M7a,Objective 3 (validity),incidence rate per 100 at-risk person-weeks,engagement stratum,Reporting cohort person-weeks,"2,997 / 1,543 / 86 at-risk weeks",Crude rates with exact Poisson intervals,At-risk person-weeks,Section 3.7.2; Table 3.24,no,S3.16,S3.4,,01_Physicians; 02_PersonWeeks,no
A69,Overdispersion sensitivity for the gradient,M7a,Objective 3 (sensitivity),episode count per physician,weeks reported,Reporting cohort,248 physicians,Negative-binomial regression on the same specification,Physician level with offset,Supplement S3.16,no,S3.16,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A70,"Informative observation, forward direction",M7b,Objective 3 (validity),report filed in week t+1,symptomatic in week t,Person-weeks with a following week in the season,"4,572 person-weeks, 248 physicians","Mixed-effects logistic regression, per-physician random intercept, 30-node adaptive quadrature",Filed weeks excluding the final season week,Section 3.7.2; Table 3.24,no,S3.6,S3.4,,01_Physicians; 02_PersonWeeks,yes
A71,"Post-gap episode coding, backward direction",M7b,Objective 3 (validity),week coded as an incident episode,preceding week filed or not,At-risk weeks with a preceding week in the physician's record,"4,378 person-weeks, 232 physicians, 449 events","Mixed-effects logistic regression, conditional estimate of record; marginal GEE alongside",At-risk weeks excluding each physician's first week,Section 3.7.2; Table 3.24,no,S3.15 / S3.27,S3.4,,01_Physicians; 02_PersonWeeks,yes
A72,Risk-set sensitivity of the post-gap odds ratio,M7b,Objective 3 (sensitivity),post-gap coding odds ratio,definition of which weeks carry a preceding week,Reporting cohort person-weeks,4 risk-set definitions,Re-estimation across defensible risk sets,At-risk person-weeks,Table 3.24 note,no,S3.15,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,yes
A73,Episodes attributable to the coding rule,M7b,Objective 3 (validity),onsets in a post-gap week after a symptomatic filed week,gap length,Incident episodes,22 of 497 onsets; 14 with a one-week gap,Enumeration under the linkage rule,Episode level,Section 3.7.2; Table 3.24,no,S3.15,S3.4,,01_Physicians; 02_PersonWeeks,yes
A74,Bounding incidence over unfiled interior person-weeks,none,Objective 3 (sensitivity),season incidence rate,assumed rate ratio k in unfiled weeks,Interior person-weeks,"938 unfiled of 5,667 interior weeks",Deterministic bounding across a stated sensitivity parameter,Interior person-weeks,Section 3.7.2; Table 3.24,no,S3.17,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,yes
A75,Differential ascertainment by agent cluster,none,Objective 3 (validity),agent-cluster composition of episodes,engagement stratum,Incident episodes,497 episodes across three strata,Composition test; physician-clustered model; rate-scale interaction; within-stratum negative-control re-fit,Episode and person-week level,Supplement S3.18,no,S3.18,S3.4,"Tests whether the negative control is ascertained comparably across the panel, so it is a panel-validity analysis",01_Physicians; 02_PersonWeeks,no
A76,Panel effective sample size and design effect,none,Objective 3 (precision),effective number of independent person-weeks,within-physician correlation,Reporting cohort person-weeks,"4,729 person-weeks",Design effect from the intracluster correlation and mean cluster size,Full filed panel,Section 2.10; Table 2.7,no,S3.12,S3.4,,01_Physicians; 02_PersonWeeks,no
A77,Cochran precision and prospective panel size,none,Objective 3 (design),half-width on the season proportion; required reports,effective sample size,Design quantities,effective sample from A76,Cochran precision formula and its inversion,Design level,Section 2.10; Table 2.7,no,S3.12,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A78,Weeks required to establish the observed concordance,M9,H1 (design),weeks needed at 80% power,observed correlation,Design quantities,33 weeks available,Fisher z transformation,Design level,Section 2.10; Table 2.7,no,S3.12,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A79,Events required for smaller true vaccine effects,M6,H6 (design),events required at 80% power,assumed true effect,Design quantities,protected share 0.3411,Schoenfeld formula inverted at stated effects,Design level,Section 2.10; Table 2.7,no,S3.12,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
A80,Reliability required to observe higher correlations,M9,H1 (design),required participatory reliability,target correlation,Design quantities,sentinel reliability from A42,Inversion of the attenuation relation,Design level,Supplement S3.12,no,S3.12,S3.5,,01_Physicians; 02_PersonWeeks; 04_WeeklySystem,no
