item_id,form,section,question_stem_en,explanatory_text_en,answer_options_en,scale_type,n_options,notes
R21,registration,Section 3: Risk-increasing factors,"Excluding health care, mark your close-contact status with people in your social life outside the household (EXCLUDING HOUSEHOLD and PATIENTS; e.g., shopping, public transport, coworkers, students).","Note: Close-contact definition: spending more than 15 minutes within 2 meters over a 24-hour period. You may select more than one answer. If you teach, university students fall within the 18-65 age range.",I have close contact with more than 10 people aged 18-65 during the day.|I have close contact with more than 10 children or adolescents during the day.|I have close contact with more than 10 people aged 65 and over during the day.|None,categorical,4,"MULTI-SELECT. Each option is a >10-persons-per-day THRESHOLD, not a count; contacts at or below 10 are indistinguishable from none."
R22,registration,Section 3: Risk-increasing factors,Mark the option about tobacco-product use that applies to you.,"Note: If you use a tobacco product every day, write the PACK-YEAR NUMBER on the ""Other:"" line. Example: 3 packs/day for 10 years = 10x3 = 30; half a pack/day for 5 years = 5x0.5 = 2.5. Select only one option.",I never used (I smoked fewer than 100 cigarettes in my lifetime)|I used to use (100+ cigarettes; not now) - Quit: 1 year ago|I used to use (100+ cigarettes; not now) - Quit: 1-5 years|I used to use (100+ cigarettes; not now) - Quit: >5 years|I use occasionally (some days a week; not every day)|Other: ___ (pack-year number),categorical,6,"No explicit ""I smoke daily"" option: daily smokers are instructed to enter a pack-year NUMBER in the free-text ""Other"" line, so daily use must be inferred from a numeric entry."
R23,registration,Section 3: Risk-increasing factors,Allergy causing respiratory symptoms,"Note: Allergic rhinitis, hay fever (pollen), house dust/mites, pets, etc. Select only one option.",Yes|No,binary,2,
R24,registration,Section 3: Risk-increasing factors,How often per year do you have an influenza-like illness?,Note: Consider the average of the last 3 years. Select only one option.,Never|1-2 times a year|3-4 times a year|5-6 times a year|More than 6 times a year,ordinal,5,"THE SUSCEPTIBILITY ITEM. A 3-year-average self-recall of ILI frequency; no case definition is attached to the word ""influenza-like illness"" here (the ILI definition appears only on the weekly form)."
R25,registration,Section 3: Risk-increasing factors,Whether you presented to a health-care facility for an influenza-like illness during Sep 2024 - Sep 2025,Note: Select only one option.,I did not have an influenza-like illness requiring treatment.|I managed my own treatment; I did not present to a health-care facility last year.|I made at least one outpatient visit (excluding the emergency department) last year for a colleague's elective opinion.|I presented to the emergency department at least once and did not need inpatient treatment.|I received inpatient treatment at least once.,ordinal,5,"5 options ordered by care intensity. Option 1 also carries the information ""no prior-season ILI requiring treatment"", so this single item encodes BOTH prior-ILI occurrence and care level."
R26,registration,Section 4: Risk-reducing factors,Flu Vaccine: Did you get a flu shot last season (2024-2025)?,Note: Select only one option.,No - I was not vaccinated.|Yes - I was vaccinated with the vaccine provided by my institution.|Yes - I was vaccinated with a vaccine obtained from a pharmacy.,categorical,3,"3 options; the two ""Yes"" options distinguish the procurement route (institution vs pharmacy)."
R27,registration,Section 4: Risk-reducing factors,"Flu Vaccine: If you were vaccinated THIS SEASON (from September 2025 onward), mark your vaccination date.",Note: Select only one option.,No - I was not vaccinated.|Week 40: 29 Sep - 5 Oct 2025|Week 41: 6 - 12 Oct 2025|Week 42: 13 - 19 Oct 2025|Week 43: 20 - 26 Oct 2025|Week 44: 27 Oct - 2 Nov 2025|Week 45: 3 - 9 Nov 2025|Week 46: 10 - 16 Nov 2025|Week 47: 17 - 23 Nov 2025|Week 48: 24 - 30 Nov 2025|Week 49: 1 - 7 Dec 2025|Week 50: 8 - 14 Dec 2025|Week 51: 15 - 21 Dec 2025|Week 52: 22 - 28 Dec 2025|Week 1: 29 Dec 2025 - 4 Jan 2026|Week 2: 5 - 11 Jan 2026|Week 3: 12 - 18 Jan 2026|Week 4: 19 - 25 Jan 2026,date,18,"Vaccination status AND week in one item; the response set stops at W4/2026, so a vaccination after week 4 cannot be recorded on the registration form."
R28,registration,Section 4: Risk-reducing factors,"Do you do at least 150 minutes of moderate-intensity, or at least 75 minutes of vigorous-intensity, aerobic physical activity per week in total?",Note: Consider the average of the last month. Light: can talk and sing comfortably. Moderate: can talk but singing is hard. Vigorous: can speak only in short sentences. Select only one option.,Yes|No,binary,2,WHO-threshold physical-activity item with a talk-test intensity definition; one-month recall.
W1,weekly,Introduction,ID,Note: Your unique identifier number - automatically assigned by the system. Please move on to the next question.,,free_text,0,Automatically assigned by the system (not filled in by the participant).
W2,weekly,Introduction,"In the past week, did you have symptoms of an INFLUENZA-LIKE ILLNESS?","Note: At least one sudden-onset systemic symptom: fever or feverishness, malaise, myalgia, headache. At least one sudden-onset respiratory symptom: cough, sore throat, shortness of breath. Select only one option.",YES -> go to Q3|NO (ends / submits the form),binary,2,"THE CASE DEFINITION lives in this note, not in the stem. The respondent self-applies it; no symptom checklist is collected, so the individual symptoms behind a YES are never recorded."
W3,weekly,Clinical diagnosis,"When you evaluate your symptoms based on your clinical experience, which of the following do you think could be causing them?","Note: Cluster A (Viral - Systemic effect): fever, myalgia, headache, malaise - Influenza, SARS-CoV-2. Cluster B (Viral - Local effect): rhinorrhea, sneezing, wheezing, conjunctivitis - Rhinovirus, RSV, Adenovirus, other respiratory viruses. Cluster C (Bacterial): high fever, purulent sputum/discharge, unilateral findings (otitis, sinusitis, tonsillitis), focal pneumonia. Cluster D: cannot distinguish / don't know from clinical experience. Select only one option.",CLUSTER A (Viral - Systemic effect) -> go to Q4|CLUSTER B (Viral - Local effect)|CLUSTER C (Bacterial agents)|Cluster D: Cannot distinguish / Don't know,categorical,4,"The A/B/C/D scheme is a bespoke clinical-judgement classification with no external terminology mapping; it is an opinion, not a laboratory result. BRANCHING: only Cluster A continues to the severity block."
W4,weekly,Clinical diagnosis - viral systemic (disease severity),Did your daily routine change because of your illness?,Note: Why we ask: to gauge disease severity through loss of work capacity. Select only one option.,"No, it didn't change - I continued my daily activities as usual|Yes - but I COULD NOT TAKE TIME OFF WORK|Yes - I TOOK TIME OFF WORK: outpatient follow-up and treatment|Yes - I TOOK TIME OFF WORK: inpatient follow-up and treatment",ordinal,4,"Asked ONLY of A-cluster weeks, so severity is measured on the influenza-like subset only."
W5,weekly,Clinical diagnosis - viral systemic (disease severity),Did you use medication to relieve your symptoms?,Note: Why we ask: to gauge disease severity through the need for treatment. You may select more than one answer.,"I did not need to use medication|Outpatient follow-up and treatment: NSAIDs (e.g., paracetamol; ibuprofen; aspirin, etc.)|Outpatient follow-up and treatment: Antiviral drugs (e.g., oseltamivir)|Outpatient follow-up and treatment: Antibiotics|Inpatient follow-up and treatment",categorical,5,MULTI-SELECT; A-cluster weeks only.
W6,weekly,Clinical diagnosis - viral systemic (disease severity),How many days did your symptoms last?,"Note: If still ongoing, write the total number of days since onset, including today.",,count,0,A-cluster weeks only. Right-censored by construction when the illness is ongoing at the time of the report.
W7,weekly,Clinical diagnosis - viral systemic (disease severity),What is the likely source of your symptoms?,Note: You may answer by considering people around you with similar symptoms. You may select more than one option.,"Health-care related (hospital; clinic; patient contact, etc.)|Contact with a household member who has symptoms|Contact with another source outside health care or the household (e.g., social setting)|Don't know / not sure",categorical,4,"MULTI-SELECT; A-cluster weeks only. Attribution is the respondent's inference, not a traced contact."
W8,weekly,Clinical diagnosis - viral systemic (disease severity),DIAGNOSTIC TEST: Did you get tested for the causative agent?,Note: Select only one option.,I DID NOT GET TESTED|Not yet; but I plan to get tested soon|I HAD A PCR: Influenza Positive|I HAD A PCR: SARS-CoV-2 Positive|I had a PCR: Result NEGATIVE|I HAD A PCR: Influenza AND SARS-CoV-2 Positive|I HAD A RAPID TEST: Influenza Positive|I HAD A RAPID TEST: SARS-CoV-2 Positive|I HAD A RAPID TEST: Influenza AND SARS-CoV-2 Positive|I had a rapid test: Result NEGATIVE,categorical,10,A-cluster weeks only. Self-reported test result; no laboratory linkage.
W9,weekly,Vaccination status update,Have you had a flu shot this season (from September 2025 onward)?,Note: Select only one option.,"No, I haven't / I don't plan to.|Yes, I did.",binary,2,Weekly re-ask of vaccination status; allows uptake after the registration form.
W10,weekly,Vaccination status update,When did you get the flu shot?,Note: Information needed to assess vaccine effectiveness (difference in getting sick between vaccinated and unvaccinated). Select only one option.,Week 40: 29 Sep - 5 Oct 2025|Week 41: 6 - 12 Oct 2025|Week 42: 13 - 19 Oct 2025|Week 43: 20 - 26 Oct 2025|Week 44: 27 Oct - 2 Nov 2025|Week 45: 3 - 9 Nov 2025|Week 46: 10 - 16 Nov 2025|Week 47: 17 - 23 Nov 2025|Week 48: 24 - 30 Nov 2025|Week 49: 1 - 7 Dec 2025|Week 50: 8 - 14 Dec 2025|Week 51: 15 - 21 Dec 2025|Week 52: 22 - 28 Dec 2025|Week 1: 29 Dec 2025 - 4 Jan 2026|Week 2: 5 - 11 Jan 2026|Week 3: 12 - 18 Jan 2026|Week 4: 19 - 25 Jan 2026,date,17,Response set stops at W4/2026 exactly as on the registration form; vaccinations after W4/2026 have no code.
